n_zeros,mertens,liouville,skewes
1,0.048271,0.6827,0.018221
2,0.078549,1.3194,0.028161
3,0.103304,1.9387,0.035850
4,0.123063,2.5399,0.041636
5,0.141107,3.1343,0.046799
6,0.156629,3.7177,0.051079
7,0.170723,4.2945,0.054876
8,0.183932,4.8668,0.058381
9,0.195695,5.4315,0.061419
10,0.206987,5.9936,0.064309
11,0.217515,6.5513,0.066961
12,0.227316,7.1046,0.069391
13,0.236580,7.6544,0.071660
14,0.245592,8.2026,0.073853
15,0.253942,8.7463,0.075853
16,0.262018,9.2881,0.077773
17,0.269775,9.8276,0.079602
18,0.277230,10.3648,0.081344
19,0.284285,10.8990,0.082975
20,0.291194,11.4320,0.084565
21,0.297891,11.9633,0.086096
22,0.304267,12.4919,0.087539
23,0.310490,13.0192,0.088941
24,0.316501,13.5447,0.090285
25,0.322407,14.0693,0.091602
26,0.328053,14.5915,0.092849
27,0.333556,15.1124,0.094059
28,0.338982,15.6326,0.095248
29,0.344227,16.1510,0.096390
30,0.349330,16.6680,0.097494
31,0.354302,17.1837,0.098566
32,0.359184,17.6985,0.099614
33,0.363980,18.2125,0.100640
34,0.368591,18.7245,0.101619
35,0.373164,19.2360,0.102588
36,0.377628,19.7464,0.103530
37,0.382012,20.2559,0.104452
38,0.386291,20.7643,0.105348
39,0.390470,21.2715,0.106218
40,0.394590,21.7780,0.107075
41,0.398662,22.2840,0.107919
42,0.402620,22.7886,0.108735
43,0.406507,23.2924,0.109535
44,0.410346,23.7956,0.110322
45,0.414108,24.2979,0.111091
46,0.417832,24.7996,0.111850
47,0.421456,25.3001,0.112585
48,0.425033,25.8001,0.113309
49,0.428572,26.2995,0.114024
50,0.432057,26.7982,0.114727
51,0.435466,27.2959,0.115411
52,0.438839,27.7932,0.116086
53,0.442147,28.2895,0.116746
54,0.445433,28.7856,0.117401
55,0.448671,29.2810,0.118045
56,0.451838,29.7754,0.118672
57,0.454972,30.2694,0.119291
58,0.458079,30.7629,0.119904
59,0.461137,31.2558,0.120506
60,0.464156,31.7481,0.121099
61,0.467126,32.2396,0.121680
62,0.470063,32.7307,0.122254
63,0.472964,33.2213,0.122819
64,0.475850,33.7116,0.123381
65,0.478672,34.2009,0.123929
66,0.481470,34.6899,0.124470
67,0.484239,35.1784,0.125006
68,0.486974,35.6664,0.125533
69,0.489685,36.1540,0.126055
70,0.492357,36.6411,0.126569
71,0.494988,37.1274,0.127073
72,0.497607,37.6136,0.127574
73,0.500202,38.0993,0.128070
74,0.502763,38.5845,0.128559
75,0.505287,39.0691,0.129039
76,0.507795,39.5534,0.129515
77,0.510273,40.0372,0.129985
78,0.512728,40.5206,0.130450
79,0.515168,41.0038,0.130911
80,0.517565,41.4862,0.131363
81,0.519946,41.9684,0.131811
82,0.522306,42.4502,0.132255
83,0.524650,42.9317,0.132695
84,0.526964,43.4126,0.133129
85,0.529257,43.8932,0.133558
86,0.531525,44.3734,0.133981
87,0.533774,44.8532,0.134401
88,0.536009,45.3327,0.134817
