log10_x,5_waves,10_waves,20_waves,50_waves,100_waves,500_waves
1.00,0.060808,0.040935,0.030675,0.033008,0.037285,0.037104
1.05,-0.019812,-0.030987,-0.057515,-0.080843,-0.070355,-0.072275
1.10,0.007974,0.037617,0.048456,0.043166,0.039454,0.036944
1.15,-0.070659,-0.046223,-0.033468,-0.041090,-0.045576,-0.045176
1.20,0.092990,0.094620,0.078885,0.094317,0.099444,0.096361
1.25,-0.008217,-0.029059,-0.045575,-0.014125,-0.022865,-0.025813
1.30,-0.073269,-0.111195,-0.091442,-0.077549,-0.080842,-0.084616
1.35,0.057968,0.048430,0.088118,0.090677,0.073304,0.083313
1.40,-0.025865,-0.009335,0.000559,-0.005279,-0.020458,-0.038077
1.45,0.062684,0.050875,0.065395,0.080110,0.061809,0.071483
1.50,-0.091817,-0.100565,-0.106741,-0.133945,-0.117203,-0.120113
1.55,0.025876,0.066644,0.059080,0.053920,0.059792,0.054852
1.60,0.051526,0.082181,0.100796,0.091196,0.079080,0.086621
1.65,-0.024832,-0.033053,-0.049128,-0.040995,-0.042632,-0.039380
1.70,-0.047035,-0.044988,-0.043269,-0.063470,-0.060140,-0.053913
1.75,0.040930,0.035129,0.041114,0.030397,0.039019,0.040988
1.80,0.010976,-0.030968,-0.019648,-0.009660,-0.008770,-0.012511
1.85,-0.000051,-0.018071,0.025484,0.030229,0.032962,0.073563
1.90,-0.039726,-0.018089,-0.004622,-0.024855,-0.041050,-0.060914
1.95,-0.006470,-0.001039,0.002421,-0.011754,-0.011980,-0.033574
2.00,0.106162,0.099561,0.082059,0.113975,0.132861,0.125436
2.05,-0.120157,-0.111286,-0.121846,-0.098074,-0.080478,-0.083143
2.10,0.044562,0.055979,0.044908,0.050663,0.071295,0.063778
2.15,-0.007182,0.007272,-0.040453,-0.057753,-0.051663,-0.045820
2.20,0.030474,0.035952,0.040395,0.023511,-0.001937,0.009114
2.25,-0.006910,-0.037608,-0.037443,0.002367,0.017622,0.014654
2.30,-0.074491,-0.090161,-0.118931,-0.134825,-0.154251,-0.172734
2.35,0.088349,0.127166,0.128640,0.151453,0.139895,0.104796
2.40,-0.003217,0.010536,0.016396,0.037889,0.018296,0.007270
2.45,-0.050311,-0.090906,-0.089668,-0.093624,-0.097727,-0.089852
2.50,0.006901,-0.006874,-0.032760,-0.066800,-0.062309,-0.034251
2.55,0.030335,0.046211,0.019381,0.009831,0.022322,0.007743
2.60,0.004098,-0.004885,-0.013181,-0.003356,-0.007152,-0.022992
2.65,-0.016869,-0.023578,-0.023626,-0.035817,-0.038384,-0.021394
2.70,-0.053304,-0.036137,-0.027869,-0.047421,-0.031176,-0.037460
2.75,0.100285,0.110034,0.098433,0.115574,0.123081,0.126767
2.80,-0.035817,-0.023228,-0.032551,-0.024215,-0.016255,-0.021343
2.85,-0.046852,-0.024069,-0.015468,-0.017302,-0.027604,-0.013424
2.90,0.038268,0.032875,0.048123,0.057303,0.054807,0.070703
2.95,-0.000075,-0.026222,-0.009827,-0.034358,-0.069214,-0.067550
3.00,0.029884,0.010031,0.024724,0.035382,0.037643,0.017770
3.05,-0.067407,-0.092866,-0.087023,-0.118974,-0.106858,-0.109124
3.10,0.011996,0.005222,0.028109,0.033718,0.032116,0.031982
3.15,0.072250,0.106284,0.163063,0.154827,0.158094,0.149507
3.20,-0.058110,-0.044640,-0.035364,-0.026106,-0.020078,-0.047055
3.25,-0.019212,-0.035208,-0.045059,-0.045361,-0.044206,-0.012627
3.30,0.031835,0.059709,0.073078,0.070128,0.084026,0.088425
3.35,0.008345,0.049497,0.045997,0.058295,0.049162,0.065438
3.40,0.011577,-0.013530,-0.016928,0.011041,0.022089,0.016308
3.45,-0.076573,-0.121589,-0.125683,-0.106084,-0.109138,-0.119431
3.50,0.063804,0.059415,0.082882,0.086833,0.095483,0.123522
3.55,0.022990,0.029661,0.043245,0.026468,0.033259,0.016399
3.60,-0.049296,-0.047204,-0.055164,-0.048475,-0.042698,-0.024787
3.65,-0.010123,-0.006384,0.013688,0.013214,0.025419,0.008833
