log10_x,mertens_30,mertens_100,mertens_1000,threshold_1,threshold_neg1
1.0,0.044211,0.037285,0.037176,1.0,-1.0
1.1,0.053413,0.039454,0.038362,1.0,-1.0
1.2,0.081449,0.099444,0.096936,1.0,-1.0
1.3,-0.084504,-0.080842,-0.083065,1.0,-1.0
1.4,-0.014617,-0.020458,-0.029520,1.0,-1.0
1.5,-0.129245,-0.117203,-0.120042,1.0,-1.0
1.6,0.110727,0.079080,0.088984,1.0,-1.0
1.7,-0.054318,-0.060140,-0.054531,1.0,-1.0
1.8,-0.023346,-0.008770,-0.011258,1.0,-1.0
1.9,-0.025050,-0.041050,-0.058397,1.0,-1.0
2.0,0.102020,0.132861,0.124981,1.0,-1.0
2.1,0.054369,0.071295,0.061938,1.0,-1.0
2.2,0.034811,-0.001937,0.009042,1.0,-1.0
2.3,-0.139196,-0.154251,-0.173239,1.0,-1.0
2.4,0.021703,0.018296,0.000234,1.0,-1.0
2.5,-0.059003,-0.062309,-0.031047,1.0,-1.0
2.6,-0.004560,-0.007152,-0.021928,1.0,-1.0
2.7,-0.045354,-0.031176,-0.032372,1.0,-1.0
2.8,-0.023320,-0.016255,-0.019921,1.0,-1.0
2.9,0.056747,0.054807,0.066517,1.0,-1.0
3.0,0.040214,0.037643,0.015580,1.0,-1.0
3.1,0.053995,0.032116,0.032356,1.0,-1.0
3.2,-0.023297,-0.020078,-0.048253,1.0,-1.0
3.3,0.068758,0.084026,0.091826,1.0,-1.0
3.4,-0.012462,0.022089,0.017940,1.0,-1.0
3.5,0.068309,0.095483,0.133019,1.0,-1.0
3.6,-0.056090,-0.042698,-0.021970,1.0,-1.0
3.7,0.020247,-0.012576,-0.018767,1.0,-1.0
3.8,-0.063171,-0.050570,-0.046350,1.0,-1.0
3.9,0.022973,0.004255,-0.023111,1.0,-1.0
4.0,-0.077396,-0.073015,-0.070770,1.0,-1.0
4.1,0.018864,-0.013825,-0.010285,1.0,-1.0
4.2,-0.106120,-0.109226,-0.110768,1.0,-1.0
4.3,0.043029,0.085951,0.093487,1.0,-1.0
4.4,-0.000820,0.002101,0.009672,1.0,-1.0
4.5,0.095159,0.072311,0.077719,1.0,-1.0
4.6,-0.008113,-0.017637,-0.005733,1.0,-1.0
4.7,0.048092,0.013153,0.004542,1.0,-1.0
