log10_x,L_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg,dc_offset
1.00,0.517279,0.627507,-0.614312,0.540506,0.491582,0.259999,5.539181,-5.539181,-0.670000
1.02,0.232588,0.662177,-0.486046,0.495989,0.424209,0.547768,5.539181,-5.539181,-0.670000
1.04,0.154735,0.426045,0.063267,-0.136919,-0.348312,-0.200780,5.539181,-5.539181,-0.670000
1.06,-2.611476,0.015680,0.557774,-0.607400,-0.541846,-0.569475,5.539181,-5.539181,-0.670000
1.08,-0.875408,-0.401098,0.569098,-0.357323,0.165314,0.139215,5.539181,-5.539181,-0.670000
1.10,2.652969,-0.653844,0.087430,0.316646,0.597678,0.584525,5.539181,-5.539181,-0.670000
1.12,-4.822078,-0.639197,-0.469976,0.614978,0.036541,-0.076023,5.539181,-5.539181,-0.670000
1.14,-0.578090,-0.363145,-0.620256,0.183763,-0.585336,-0.592744,5.539181,-5.539181,-0.670000
1.16,-0.599520,0.061417,-0.233227,-0.465450,-0.234228,0.011942,5.539181,-5.539181,-0.670000
1.18,-1.022804,0.460862,0.355839,-0.562500,0.506230,0.594035,5.539181,-5.539181,-0.670000
1.20,0.298737,0.671835,0.636653,0.007743,0.405198,0.052278,5.539181,-5.539181,-0.670000
1.22,3.414571,0.608056,0.365954,0.568801,-0.369382,-0.588383,5.539181,-5.539181,-0.670000
1.24,-4.250621,0.295609,-0.221760,0.455091,-0.529950,-0.115888,5.539181,-5.539181,-0.670000
1.26,0.708739,-0.137729,-0.617370,-0.198493,0.190401,0.575854,5.539181,-5.539181,-0.670000
1.28,-1.818774,-0.514742,-0.478171,-0.616605,0.594254,0.178142,5.539181,-5.539181,-0.670000
1.30,-1.907690,-0.681248,0.075253,-0.303239,0.010298,-0.556596,5.539181,-5.539181,-0.670000
1.32,-1.247092,-0.569153,0.563488,0.369858,-0.590777,-0.238315,5.539181,-5.539181,-0.670000
1.34,0.141349,-0.224299,0.563590,0.604194,-0.209822,0.530832,5.539181,-5.539181,-0.670000
1.36,1.417977,0.212283,0.075471,0.121775,0.519913,0.295703,5.539181,-5.539181,-0.670000
1.38,-1.822213,0.562051,-0.478026,-0.505105,0.385413,-0.498864,5.865206,-5.865206,-0.670000
1.40,-2.247511,0.681965,-0.617424,-0.532779,-0.389747,-0.349634,5.865206,-5.865206,-0.670000
1.42,1.397512,0.522984,-0.221966,0.071582,-0.517043,0.461065,5.865206,-5.865206,-0.670000
1.44,-1.199936,0.150126,0.365774,0.591026,0.215125,0.399479,5.865206,-5.865206,-0.670000
1.46,0.900044,-0.284127,0.636655,0.409336,0.589698,-0.417878,5.865206,-5.865206,-0.670000
1.48,0.352489,-0.602185,0.356022,-0.257948,-0.015965,-0.444656,5.865206,-5.865206,-0.670000
1.50,-5.124575,-0.673975,-0.233023,-0.619229,-0.595089,0.369807,5.865206,-5.865206,-0.670000
1.52,-0.792896,-0.470139,-0.620207,-0.245919,-0.185016,0.484635,5.865206,-5.865206,-0.670000
1.54,-0.405685,-0.074036,-0.470124,0.419125,0.532604,-0.317414,5.865206,-5.865206,-0.670000
1.56,2.053366,0.352344,0.087212,0.586961,0.364893,-0.518950,5.865206,-5.865206,-0.670000
1.58,-4.088963,0.634630,0.569000,0.058487,-0.409368,0.261311,5.865206,-5.865206,-0.670000
1.60,3.837003,0.657381,0.557880,-0.539371,-0.503150,0.547200,5.865206,-5.865206,-0.670000
1.62,-0.466452,0.411291,0.063486,-0.497373,0.239438,-0.202154,5.865206,-5.865206,-0.670000
1.64,-4.307012,-0.002999,-0.485904,0.134658,0.584015,-0.569055,5.865206,-5.865206,-0.670000
1.66,2.133142,-0.416062,-0.614370,0.606944,-0.042197,0.140634,5.865206,-5.865206,-0.670000
1.68,-2.281652,-0.658975,-0.210626,0.359214,-0.598267,0.584258,5.865206,-5.865206,-0.670000
1.70,-2.305274,-0.632395,0.375577,-0.314652,-0.159856,-0.077470,5.865206,-5.865206,-0.670000
1.72,1.203537,-0.347193,0.636429,-0.615246,0.544278,-0.592634,5.865206,-5.865206,-0.670000
1.74,-3.050291,0.079995,0.345962,-0.185975,0.343677,0.013402,5.865206,-5.865206,-0.670000
1.76,2.341373,0.474469,-0.244201,0.463918,-0.428208,0.594082,5.865206,-5.865206,-0.670000
1.78,-0.496941,0.674906,-0.622821,0.563466,-0.488296,0.050824,5.865206,-5.865206,-0.670000
1.80,-2.458823,0.599335,-0.461909,-0.005425,0.263295,-0.588588,6.626182,-6.626182,-0.670000
1.82,1.041206,0.278663,0.099140,-0.567880,0.577219,-0.114455,6.626182,-6.626182,-0.670000
1.84,-0.474423,-0.155971,0.574307,-0.456660,-0.068349,0.576214,6.626182,-6.626182,-0.670000
1.86,-1.581342,-0.526819,0.551970,0.196296,-0.600303,0.176749,6.626182,-6.626182,-0.670000
1.88,-0.304050,-0.682221,0.051477,0.616386,-0.134392,-0.557106,6.626182,-6.626182,-0.670000
1.90,-1.527011,-0.558625,-0.493608,0.305258,0.554914,-0.236977,6.626182,-6.626182,-0.670000
1.92,-2.466690,-0.206575,-0.611096,-0.367997,0.321804,0.531487,6.626182,-6.626182,-0.670000
1.94,1.932553,0.229955,-0.199210,-0.604698,-0.446231,0.294435,6.626182,-6.626182,-0.670000
1.96,-3.941634,0.572443,0.385245,-0.124046,-0.472511,-0.499656,6.626182,-6.626182,-0.670000
1.98,2.112703,0.680827,0.635974,0.503761,0.286649,-0.348453,6.626182,-6.626182,-0.670000
2.00,2.285281,0.510782,0.335778,0.533957,0.569321,0.461985,6.626182,-6.626182,-0.670000
2.02,-0.976494,0.131850,-0.255293,-0.069280,-0.094371,0.398397,6.626182,-6.626182,-0.670000
