log10_x,L_100,L_1000,dc,zero_line
1.00,-0.203038,0.153069,-0.670000,0.0
1.02,0.245612,0.255571,-0.670000,0.0
1.04,4.929077,19.230443,-0.670000,0.0
1.06,-3.176615,-2.426350,-0.670000,0.0
1.08,-1.893035,-0.052318,-0.670000,0.0
1.10,1.403348,0.646591,-0.670000,0.0
1.12,-8.939228,-3.006930,-0.670000,0.0
1.14,-2.648970,-3.062336,-0.670000,0.0
1.16,-0.678548,-0.193199,-0.670000,0.0
1.18,0.619593,-0.229822,-0.670000,0.0
1.20,2.668980,0.674070,-0.670000,0.0
1.22,-0.805522,4.001163,-0.670000,0.0
1.24,-1.218674,-1.796823,-0.670000,0.0
1.26,0.197686,-0.287589,-0.670000,0.0
1.28,-5.992387,-28.802758,-0.670000,0.0
1.30,-1.298172,-0.951104,-0.670000,0.0
1.32,-0.599673,-1.473539,-0.670000,0.0
1.34,-0.513840,0.819404,-0.670000,0.0
1.36,4.921710,4.304091,-0.670000,0.0
1.38,-1.786408,-2.828150,-0.670000,0.0
1.40,-3.751965,-0.632514,-0.670000,0.0
1.42,0.346791,-2.037516,-0.670000,0.0
1.44,-1.371084,-0.586487,-0.670000,0.0
1.46,5.645608,9.604881,-0.670000,0.0
1.48,-2.435580,-1.748126,-0.670000,0.0
1.50,-2.335491,-4.593114,-0.670000,0.0
1.52,-3.094901,-1.869627,-0.670000,0.0
1.54,-0.055865,-0.363020,-0.670000,0.0
1.56,3.965286,3.078435,-0.670000,0.0
1.58,-0.001633,-1.720456,-0.670000,0.0
1.60,-0.802762,2.191046,-0.670000,0.0
1.62,-5.174124,-3.013905,-0.670000,0.0
1.64,-6.784826,-6.260945,-0.670000,0.0
1.66,-0.106628,0.998628,-0.670000,0.0
1.68,-4.693434,-0.967664,-0.670000,0.0
1.70,-3.063969,-1.743422,-0.670000,0.0
1.72,7.052519,3.424045,-0.670000,0.0
1.74,-1.612714,-1.381346,-0.670000,0.0
1.76,-0.152345,2.086023,-0.670000,0.0
1.78,4.209132,1.001518,-0.670000,0.0
1.80,-0.755559,-1.678155,-0.670000,0.0
1.82,5.929700,2.035202,-0.670000,0.0
1.84,-1.646713,-1.173213,-0.670000,0.0
1.86,3.556139,1.223546,-0.670000,0.0
1.88,-1.846318,-0.956164,-0.670000,0.0
1.90,-4.415573,-6.932498,-0.670000,0.0
1.92,-1.854203,-33.714709,-0.670000,0.0
1.94,-0.239582,0.612120,-0.670000,0.0
1.96,-1.389941,-4.379368,-0.670000,0.0
1.98,3.866088,5.783776,-0.670000,0.0
2.00,7.334989,5.441588,-0.670000,0.0
2.02,-3.102143,-3.151749,-0.670000,0.0
2.04,-7.038376,-12.052499,-0.670000,0.0
2.06,-5.963131,-6.407096,-0.670000,0.0
2.08,1.535357,6.243879,-0.670000,0.0
2.10,4.783949,-2.779313,-0.670000,0.0
2.12,-5.645702,-10.474018,-0.670000,0.0
2.14,-0.451698,2.239100,-0.670000,0.0
2.16,-0.483391,-0.406347,-0.670000,0.0
2.18,-5.530237,-27.709734,-0.670000,0.0
2.20,-6.093707,0.217227,-0.670000,0.0
2.22,4.108201,7.731260,-0.670000,0.0
2.24,-4.784108,-0.799635,-0.670000,0.0
2.26,-7.808801,-8.994759,-0.670000,0.0
2.28,6.723535,23.532955,-0.670000,0.0
2.30,-10.374344,-22.476575,-0.670000,0.0
2.32,4.326171,2.093107,-0.670000,0.0
2.34,2.911894,3.118560,-0.670000,0.0
2.36,-1.325444,-7.907954,-0.670000,0.0
2.38,1.897966,-6.130057,-0.670000,0.0
2.40,-0.977575,-15.997076,-0.670000,0.0
2.42,-0.762293,-3.560509,-0.670000,0.0
2.44,-0.123105,2.669482,-0.670000,0.0
2.46,-1.468610,10.589214,-0.670000,0.0
2.48,2.196577,1.019100,-0.670000,0.0
2.50,-4.998396,12.147490,-0.670000,0.0
2.52,0.962985,-7.322460,-0.670000,0.0
2.54,5.537044,18.701040,-0.670000,0.0
2.56,-2.418759,-3.677935,-0.670000,0.0
2.58,-0.515861,-5.915362,-0.670000,0.0
2.60,-0.748145,-10.354963,-0.670000,0.0
2.62,4.814860,5.025510,-0.670000,0.0
2.64,-3.757182,4.645602,-0.670000,0.0
2.66,4.935791,-2.757036,-0.670000,0.0
2.68,0.953464,8.713199,-0.670000,0.0
2.70,0.479778,3.261474,-0.670000,0.0
2.72,-5.051125,-9.573690,-0.670000,0.0
2.74,0.058251,-1.537913,-0.670000,0.0
2.76,-3.172592,7.961400,-0.670000,0.0
2.78,-1.008221,-14.936328,-0.670000,0.0
2.80,0.536756,2.093764,-0.670000,0.0
2.82,-5.192070,-8.607097,-0.670000,0.0
2.84,-2.215001,-16.867060,-0.670000,0.0
2.86,2.190919,3.578245,-0.670000,0.0
2.88,-0.619234,-11.186862,-0.670000,0.0
2.90,0.869453,5.197462,-0.670000,0.0
2.92,-4.710871,-10.909525,-0.670000,0.0
2.94,-0.042015,3.729693,-0.670000,0.0
2.96,-0.199105,-16.265622,-0.670000,0.0
2.98,0.126774,-12.847722,-0.670000,0.0
3.00,1.343506,-7.010486,-0.670000,0.0
3.02,-0.520412,14.139647,-0.670000,0.0
3.04,-2.464517,4.587829,-0.670000,0.0
3.06,4.550912,13.318221,-0.670000,0.0
3.08,-1.665539,-13.148827,-0.670000,0.0
3.10,-0.448488,2.792066,-0.670000,0.0
3.12,-4.214651,18.574616,-0.670000,0.0
3.14,-4.953772,4.645745,-0.670000,0.0
3.16,-3.078406,11.414209,-0.670000,0.0
3.18,-3.251837,-8.997942,-0.670000,0.0
3.20,0.117880,-14.147453,-0.670000,0.0
3.22,1.247539,0.567174,-0.670000,0.0
3.24,-2.839343,3.705372,-0.670000,0.0
3.26,-3.467795,14.232842,-0.670000,0.0
3.28,-3.303811,-2.850615,-0.670000,0.0
3.30,3.755943,12.781458,-0.670000,0.0
3.32,-2.467198,-14.317841,-0.670000,0.0
3.34,4.285846,3.130150,-0.670000,0.0
3.36,-3.461241,3.124451,-0.670000,0.0
3.38,-5.387496,-11.565325,-0.670000,0.0
3.40,4.377760,3.587267,-0.670000,0.0
3.42,3.057267,13.814298,-0.670000,0.0
3.44,-2.230198,-18.073831,-0.670000,0.0
3.46,-2.532982,-2.454458,-0.670000,0.0
3.48,-1.039026,0.442643,-0.670000,0.0
3.50,3.939057,27.746955,-0.670000,0.0
3.52,6.027375,5.765341,-0.670000,0.0
3.54,3.589070,-16.098694,-0.670000,0.0
3.56,-2.041615,-2.437326,-0.670000,0.0
3.58,-1.381609,-12.630760,-0.670000,0.0
