log10_x,M_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg
1.00,0.037285,0.044367,-0.029214,0.021607,0.016155,0.007893,0.131364,-0.131364
1.05,-0.070355,0.016481,0.016684,-0.017738,-0.019133,-0.016106,0.131364,-0.131364
1.10,0.039454,-0.046229,0.004158,0.012658,0.019642,0.017746,0.131364,-0.131364
1.15,-0.045576,-0.011258,-0.022928,-0.006713,-0.017616,-0.012144,0.131364,-0.131364
1.20,0.099444,0.047501,0.030276,0.000310,0.013316,0.001587,0.131364,-0.131364
1.25,-0.022865,0.005891,-0.022542,0.006115,-0.007298,0.009618,0.131364,-0.131364
1.30,-0.080842,-0.048167,0.003579,-0.012122,0.000338,-0.016898,0.131364,-0.131364
1.35,0.073304,-0.000448,0.017168,0.017301,0.006665,0.017282,0.131364,-0.131364
1.40,-0.020458,0.048217,-0.029362,-0.021298,-0.012808,-0.010615,0.131364,-0.131364
1.45,0.061809,-0.005000,0.026929,0.023840,0.017299,-0.000385,0.131364,-0.131364
1.50,-0.117203,-0.047652,-0.011082,-0.024753,-0.019557,0.011227,0.137255,-0.137255
1.55,0.059792,0.010384,-0.010287,0.023976,0.019291,-0.017488,0.137255,-0.137255
1.60,0.079080,0.046479,0.026530,-0.021561,-0.016535,0.016613,0.137255,-0.137255
1.65,-0.042632,-0.015635,-0.029558,0.017673,0.011646,-0.008958,0.137255,-0.137255
1.70,-0.060140,-0.044713,0.017861,-0.012578,-0.005253,-0.002352,0.137255,-0.137255
1.75,0.039019,0.020687,0.002734,0.006624,-0.001817,0.012702,0.137255,-0.137255
1.80,-0.008770,0.042375,-0.021966,-0.000217,0.008653,-0.017869,0.154251,-0.154251
1.85,0.032962,-0.025475,0.030256,-0.006205,-0.014372,0.015744,0.154251,-0.154251
1.90,-0.041050,-0.039497,-0.023474,0.012203,0.018236,-0.007194,0.154251,-0.154251
1.95,-0.011980,0.029938,0.004998,-0.017367,-0.019747,-0.004291,0.154251,-0.154251
2.00,0.132861,0.036114,0.015968,0.021345,0.018710,0.014026,0.154251,-0.154251
2.05,-0.080478,-0.034018,-0.028979,-0.023865,-0.015258,-0.018037,0.154251,-0.154251
2.10,0.071295,-0.032270,0.027554,0.024754,0.009837,0.014687,0.154251,-0.154251
2.15,-0.051663,0.037665,-0.012403,-0.023953,-0.003146,-0.005345,0.154251,-0.154251
2.20,-0.001937,0.028015,-0.008927,0.021515,-0.003951,-0.006179,0.154251,-0.154251
2.25,0.017622,-0.040830,0.025810,-0.017608,0.010537,0.015181,0.154251,-0.154251
2.30,-0.154251,-0.023402,-0.029835,0.012498,-0.015764,-0.017988,0.154251,-0.154251
2.35,0.139895,0.043474,0.018998,-0.006534,0.018957,0.013455,0.154251,-0.154251
2.40,0.018296,0.018490,0.001303,0.000124,-0.019703,-0.003431,0.154251,-0.154251
2.45,-0.097727,-0.045563,-0.020956,0.006294,0.017906,-0.007993,0.154251,-0.154251
2.50,-0.062309,-0.013341,0.030168,-0.012283,-0.013798,0.016155,0.154251,-0.154251
2.55,0.022322,0.047070,-0.024353,0.017433,0.007910,-0.017725,0.154251,-0.154251
2.60,-0.007152,0.008023,0.006405,-0.021392,-0.001001,0.012062,0.154251,-0.154251
2.65,-0.038384,-0.047977,0.014733,0.023889,-0.006037,-0.001477,0.158094,-0.158094
