log10_x,M_100,M_1000,M_10000,threshold_pos,threshold_neg
1.0,0.036053,0.035945,0.035586,1.0,-1.0
1.1,0.040350,0.039242,0.039649,1.0,-1.0
1.2,0.098927,0.096420,0.097161,1.0,-1.0
1.3,-0.081628,-0.083848,-0.084585,1.0,-1.0
1.4,-0.020590,-0.029664,-0.034084,1.0,-1.0
1.5,-0.116657,-0.119483,-0.118644,1.0,-1.0
1.6,0.079515,0.089424,0.088778,1.0,-1.0
1.7,-0.061181,-0.055576,-0.055775,1.0,-1.0
1.8,-0.008581,-0.011087,-0.010625,1.0,-1.0
1.9,-0.041150,-0.058516,-0.059688,1.0,-1.0
2.0,0.134858,0.126944,0.126588,1.0,-1.0
2.1,0.070342,0.060951,0.064760,1.0,-1.0
2.2,-0.001256,0.009699,0.007390,1.0,-1.0
2.3,-0.155311,-0.174301,-0.168681,1.0,-1.0
2.4,0.019428,0.001432,-0.010154,1.0,-1.0
2.5,-0.063985,-0.032716,-0.038205,1.0,-1.0
2.6,-0.006569,-0.021342,-0.018395,1.0,-1.0
2.7,-0.032898,-0.034082,-0.036309,1.0,-1.0
2.8,-0.013967,-0.017578,-0.010099,1.0,-1.0
2.9,0.053289,0.064996,0.063967,1.0,-1.0
3.0,0.039323,0.017248,0.019243,1.0,-1.0
3.1,0.030891,0.031142,0.035292,1.0,-1.0
3.2,-0.017768,-0.045939,-0.046519,1.0,-1.0
3.3,0.083498,0.091325,0.090573,1.0,-1.0
3.4,0.021574,0.017417,0.015840,1.0,-1.0
3.5,0.093003,0.130543,0.137953,1.0,-1.0
3.6,-0.042098,-0.021408,-0.024232,1.0,-1.0
3.7,-0.012605,-0.018768,-0.032230,1.0,-1.0
3.8,-0.049555,-0.045345,-0.035683,1.0,-1.0
3.9,0.003106,-0.024247,-0.019434,1.0,-1.0
4.0,-0.072809,-0.070601,-0.060819,1.0,-1.0
4.1,-0.012226,-0.008700,-0.014596,1.0,-1.0
4.2,-0.108553,-0.110115,-0.104615,1.0,-1.0
