log10_x,pi_100,pi_1000,pi_10000,zero_line
1.0,0.013959,0.013924,0.013875,0.0
1.2,0.033145,0.032770,0.032877,0.0
1.4,-0.002055,-0.003863,-0.004459,0.0
1.6,0.027755,0.029547,0.029458,0.0
1.8,0.000204,-0.000243,-0.000183,0.0
2.0,0.040117,0.038756,0.038700,0.0
2.2,0.005629,0.007413,0.007091,0.0
2.4,0.006917,0.004185,0.002577,0.0
2.6,-0.001401,-0.003585,-0.003170,0.0
2.8,-0.006208,-0.006974,-0.006118,0.0
3.0,0.010444,0.006713,0.007002,0.0
3.2,-0.009192,-0.013825,-0.013951,0.0
3.4,0.002289,0.001604,0.001397,0.0
3.6,-0.017620,-0.014059,-0.014410,0.0
3.8,-0.016502,-0.015760,-0.014602,0.0
4.0,-0.027744,-0.027396,-0.026066,0.0
4.2,-0.032953,-0.033324,-0.032557,0.0
4.4,-0.005844,-0.004585,-0.004482,0.0
4.6,-0.005583,-0.003544,-0.002166,0.0
4.8,-0.004548,-0.005223,-0.004776,0.0
5.0,-0.014208,-0.017909,-0.017872,0.0
5.2,-0.018208,-0.017994,-0.017323,0.0
5.4,-0.010628,-0.007385,-0.007875,0.0
5.6,-0.004549,0.000232,0.000623,0.0
5.8,-0.004495,0.001340,0.001682,0.0
6.0,0.028595,0.028784,0.029744,0.0
6.2,0.007053,0.007159,0.005785,0.0
6.4,0.028015,0.027317,0.027908,0.0
6.6,0.005321,0.003173,0.002578,0.0
6.8,0.012121,0.008408,0.008154,0.0
7.0,0.030793,0.034880,0.035122,0.0
7.2,0.017423,0.019004,0.020069,0.0
7.4,0.008568,0.003255,0.001310,0.0
7.6,-0.024919,-0.024825,-0.026222,0.0
7.8,0.024726,0.024987,0.023733,0.0
8.0,0.019956,0.017548,0.016234,0.0
8.2,0.019523,0.019295,0.018202,0.0
8.4,-0.013703,-0.017212,-0.016443,0.0
8.6,-0.004283,-0.006369,-0.005863,0.0
8.8,-0.016183,-0.017812,-0.016113,0.0
9.0,-0.004891,-0.006264,-0.005134,0.0
9.2,-0.018889,-0.021767,-0.022156,0.0
9.4,0.005862,0.006749,0.007864,0.0
9.6,-0.021869,-0.022935,-0.022473,0.0
9.8,-0.028587,-0.032218,-0.032658,0.0
10.0,-0.040714,-0.040857,-0.040452,0.0
10.2,-0.026619,-0.028191,-0.028982,0.0
10.4,-0.003611,-0.002006,-0.002773,0.0
10.6,0.000647,-0.003682,-0.002744,0.0
10.8,0.005097,0.001360,0.002685,0.0
11.0,-0.022935,-0.023859,-0.023636,0.0
11.2,0.002678,0.004898,0.002646,0.0
11.4,0.009751,0.004231,0.003409,0.0
11.6,0.028486,0.026374,0.025449,0.0
11.8,0.016512,0.018605,0.019399,0.0
12.0,0.006931,0.004917,0.005569,0.0
12.2,0.004470,0.005764,0.004728,0.0
12.4,0.003192,0.005301,0.004392,0.0
12.6,0.002684,0.004681,0.005246,0.0
12.8,0.019975,0.012119,0.012847,0.0
13.0,0.013811,0.012610,0.012028,0.0
13.2,0.010244,0.007748,0.007536,0.0
13.4,0.003893,0.004204,0.003162,0.0
13.6,0.002545,0.001493,0.001947,0.0
13.8,0.000960,0.001874,0.002452,0.0
14.0,-0.007799,-0.007707,-0.006071,0.0
14.2,0.000011,-0.001176,-0.000688,0.0
14.4,-0.019784,-0.022688,-0.021973,0.0
14.6,-0.022269,-0.022320,-0.022932,0.0
14.8,-0.027686,-0.023953,-0.023938,0.0
15.0,0.001130,-0.003318,-0.003384,0.0
15.2,0.002284,0.005930,0.007005,0.0
15.4,-0.032319,-0.030880,-0.031566,0.0
15.6,-0.027010,-0.025991,-0.025091,0.0
15.8,-0.042760,-0.043961,-0.042972,0.0
16.0,-0.002392,0.001082,0.001151,0.0
