log10_x,total,wave_1_gamma_14.1,wave_2_gamma_21.0,wave_3_gamma_25.0,wave_4_gamma_30.4,wave_5_gamma_32.9,wave_6_gamma_37.6,wave_7_gamma_40.9,wave_8_gamma_43.3,wave_9_gamma_48.0,wave_10_gamma_49.8
4.000,-0.078199,-0.047692,-0.027446,-0.021377,-0.011770,0.017704,0.009014,-0.001457,-0.001139,0.008523,-0.002558
4.010,-0.079599,-0.047572,-0.018342,-0.024727,-0.019229,0.010453,0.015465,0.010482,-0.011675,-0.003420,0.008967
4.020,-0.076086,-0.042458,-0.005025,-0.020101,-0.017630,-0.002528,0.011038,0.013784,-0.011523,-0.011593,0.009949
4.030,-0.058279,-0.032886,0.009448,-0.008990,-0.007727,-0.014123,-0.001153,0.005729,-0.000822,-0.006986,-0.000769
4.040,-0.019462,-0.019861,0.021749,0.005021,0.005816,-0.017977,-0.012533,-0.007047,0.010631,0.005322,-0.010582
4.050,0.033404,-0.004751,0.029053,0.017412,0.016619,-0.011979,-0.015097,-0.014016,0.012352,0.011763,-0.007952
4.060,0.080458,0.010858,0.029682,0.024186,0.019594,0.000584,-0.007041,-0.009437,0.002766,0.005237,0.004028
4.070,0.101887,0.025327,0.023491,0.023158,0.013339,0.012828,0.005967,0.002918,-0.009352,-0.007062,0.011272
4.080,0.090964,0.037137,0.011903,0.014660,0.000801,0.018041,0.014778,0.012868,-0.012909,-0.011576,0.005261
4.090,0.055807,0.045048,-0.002421,0.001432,-0.012114,0.013366,0.013194,0.012216,-0.004649,-0.003329,-0.006936
4.100,0.011130,0.048228,-0.016188,-0.012258,-0.019324,0.001366,0.002329,0.001498,0.007867,0.008588,-0.010977
4.110,-0.029216,0.046346,-0.026236,-0.021993,-0.017431,-0.011383,-0.010174,-0.010454,0.013181,0.011038,-0.002110
4.120,-0.052840,0.039597,-0.030255,-0.024634,-0.007327,-0.017893,-0.015521,-0.013792,0.006429,0.001320,0.009238
4.130,-0.048385,0.028690,-0.027323,-0.019328,0.006227,-0.014597,-0.009950,-0.005766,-0.006209,-0.009853,0.009724
4.140,-0.012501,0.014771,-0.018113,-0.007787,0.016849,-0.003301,0.002620,0.007011,-0.013163,-0.010164,-0.001225
4.150,0.039452,-0.000698,-0.004742,0.006266,0.019534,0.009804,0.013347,0.014012,-0.008067,0.000730,-0.010733
4.160,0.074241,-0.016095,0.009720,0.018297,0.013018,0.017536,0.014686,0.009467,0.004414,0.010819,-0.007621
4.170,0.061704,-0.029801,0.021948,0.024426,0.000370,0.015657,0.005694,-0.002878,0.012854,0.008982,0.004453
4.180,0.002081,-0.040379,0.029133,0.022676,-0.012452,0.005196,-0.007302,-0.012852,0.009527,-0.002757,0.011290
4.190,-0.067527,-0.046717,0.029624,0.013610,-0.019409,-0.008112,-0.015163,-0.012236,-0.002521,-0.011456,0.004852
4.200,-0.099860,-0.048150,0.023309,0.000154,-0.017223,-0.016974,-0.012357,-0.001538,-0.012261,-0.007527,-0.007292
4.210,-0.077070,-0.044527,0.011638,-0.013352,-0.006925,-0.016534,-0.000860,0.010427,-0.010777,0.004700,-0.010861
4.220,-0.026180,-0.036229,-0.002706,-0.022550,0.006635,-0.007032,0.011242,0.013801,0.000573,0.011746,-0.001659
4.230,0.006338,-0.024128,-0.016429,-0.024474,0.017070,0.006324,0.015437,0.005803,0.011398,0.005843,0.009494
4.240,-0.002127,-0.009493,-0.026378,-0.018503,0.019464,0.016214,0.008773,-0.006976,0.011790,-0.006501,0.009483
4.250,-0.030820,0.006139,-0.030265,-0.006563,0.012690,0.017217,-0.004062,-0.014007,0.001388,-0.011678,-0.001679
4.260,-0.038525,0.021126,-0.027199,0.007495,-0.000062,0.008784,-0.014040,-0.009497,-0.010284,-0.003982,-0.010867
4.270,-0.005119,0.033895,-0.017883,0.019134,-0.012784,-0.004463,-0.014141,0.002838,-0.012542,0.008104,-0.007276
4.280,0.049845,0.043105,-0.004458,0.024601,-0.019485,-0.015264,-0.004296,0.012835,-0.003319,0.011256,0.004870
4.290,0.088264,0.047789,0.009991,0.022132,-0.017008,-0.017700,0.008571,0.012256,0.008942,0.002000,0.011290
4.300,0.090149,0.047456,0.022144,0.012524,-0.006519,-0.010435,0.015409,0.001579,0.013017,-0.009461,0.004434
4.310,0.067871,0.042140,0.029210,-0.001125,0.007040,0.002550,0.011408,-0.010400,0.005176,-0.010493,-0.007636
4.320,0.046458,0.032400,0.029564,-0.014411,0.017284,0.014136,-0.000617,-0.013809,-0.007404,0.000043,-0.010727
4.330,0.034767,0.019258,0.023125,-0.023048,0.019386,0.017976,-0.012209,-0.005840,-0.013206,0.010531,-0.001204
4.340,0.019490,0.004093,0.011373,-0.024250,0.012356,0.011963,-0.015213,0.006940,-0.006919,0.009410,0.009734
4.350,-0.013889,-0.011501,-0.002992,-0.017629,-0.000493,-0.000606,-0.007516,0.014003,0.005702,-0.002084,0.009226
4.360,-0.059144,-0.025887,-0.016670,-0.005321,-0.013110,-0.012843,0.005468,0.009527,0.013103,-0.011281,-0.002131
4.370,-0.091671,-0.037555,-0.026517,0.008703,-0.019552,-0.018041,0.014605,-0.002798,0.008509,-0.008042,-0.010982
4.380,-0.091850,-0.045281,-0.030272,0.019920,-0.016784,-0.013351,0.013469,-0.012818,-0.003874,0.004062,-0.006920
4.390,-0.063228,-0.048252,-0.027071,0.024711,-0.006110,-0.001344,0.002859,-0.012276,-0.012711,0.011688,0.005279
4.400,-0.027029,-0.046157,-0.017651,0.021530,0.007442,0.011400,-0.009763,-0.001619,-0.009912,0.006430,0.011271
4.410,-0.001693,-0.039215,-0.004175,0.011404,0.017489,0.017896,-0.015517,0.010372,0.001961,-0.005917,0.004009
4.420,0.009377,-0.028156,0.010261,-0.002401,0.019297,0.014584,-0.010356,0.013817,0.012039,-0.011741,-0.007967
4.430,0.011927,-0.014141,0.022339,-0.015431,0.012017,0.003279,0.002089,0.005877,0.011096,-0.004622,-0.010575
4.440,0.009410,0.001358,0.029284,-0.023484,-0.000924,-0.009823,0.013065,-0.006905,-0.000005,0.007592,-0.000748
4.450,0.002431,0.016716,0.029501,-0.023960,-0.013430,-0.017541,0.014851,-0.013998,-0.011101,0.011437,0.009958
4.460,-0.002479,0.030318,0.022939,-0.016708,-0.019610,-0.015646,0.006190,-0.009557,-0.012035,0.002674,0.008955
4.470,0.008418,0.040737,0.011107,-0.004065,-0.016552,-0.005175,-0.006824,0.002758,-0.001952,-0.009036,-0.002578
4.480,0.041738,0.046878,-0.003277,0.009888,-0.005698,0.008132,-0.015039,0.012801,0.009918,-0.010785,-0.011080
4.490,0.081797,0.048098,-0.016908,0.020652,0.007840,0.016982,-0.012675,0.012296,0.012708,-0.000645,-0.006553
4.500,0.096594,0.044268,-0.026654,0.024754,0.017685,0.016525,-0.001395,0.001660,0.003865,0.010207,0.005680
4.510,0.065640,0.035790,-0.030276,0.020870,0.019200,0.007011,0.010866,-0.010344,-0.008516,0.009806,0.011233
4.520,0.002922,0.023554,-0.026942,0.010254,0.011671,-0.006345,0.015484,-0.013825,-0.013102,-0.001404,0.003578
4.530,-0.051571,0.008845,-0.017417,-0.003670,-0.001355,-0.016224,0.009210,-0.005915,-0.005694,-0.011067,-0.008285
4.540,-0.066729,-0.006793,-0.003890,-0.016410,-0.013743,-0.017211,-0.003542,0.006869,0.006927,-0.008530,-0.010405
4.550,-0.046951,-0.021717,0.010530,-0.023857,-0.019658,-0.008765,-0.013802,0.013993,0.013206,0.003410,-0.000291
4.560,-0.022880,-0.034362,0.022531,-0.023607,-0.016313,0.004485,-0.014354,0.009587,0.007396,0.011591,0.010166
4.570,-0.016841,-0.043398,0.029355,-0.015742,-0.005284,0.015276,-0.004809,-0.002718,-0.005184,0.006994,0.008669
4.580,-0.021331,-0.047878,0.029435,-0.002799,0.008234,0.017696,0.008119,-0.012784,-0.013019,-0.005313,-0.003022
4.590,-0.014080,-0.047331,0.022751,0.011047,0.017873,0.010417,0.015336,-0.012316,-0.008936,-0.011763,-0.011159
4.600,0.008851,-0.041814,0.010840,0.021330,0.019094,-0.002571,0.011765,-0.001700,0.003328,-0.005246,-0.006174
4.610,0.022338,-0.031907,-0.003562,0.024731,0.011320,-0.014150,-0.000081,0.010317,0.012545,0.007054,0.006071
4.620,-0.000404,-0.018650,-0.017145,0.020155,-0.001786,-0.017974,-0.011870,0.013833,0.010278,0.011578,0.011177
4.630,-0.051421,-0.003435,-0.026789,0.009076,-0.014050,-0.011946,-0.015310,0.005952,-0.001398,0.003338,0.003141
4.640,-0.085914,0.012141,-0.030278,-0.004930,-0.019697,0.000628,-0.007981,-0.006834,-0.011794,-0.008581,-0.008589
4.650,-0.062600,0.026442,-0.026810,-0.017346,-0.016065,0.012859,0.004963,-0.013988,-0.011393,-0.011041,-0.010219
4.660,0.012866,0.037967,-0.017182,-0.024166,-0.004867,0.018042,0.014415,-0.009617,-0.000563,-0.001330,0.000167
4.670,0.088063,0.045505,-0.003606,-0.023191,0.008624,0.013336,0.013728,0.002678,0.010783,0.009848,0.010357
4.680,0.110651,0.048266,0.010798,-0.014734,0.018053,0.001322,0.003384,0.012767,0.012258,0.010169,0.008368
4.690,0.076045,0.045959,0.022722,-0.001525,0.018978,-0.011417,-0.009340,0.012336,0.002512,-0.000720,-0.003461
4.700,0.028171,0.038826,0.029424,0.012177,0.010964,-0.017899,-0.015494,0.001741,-0.009533,-0.010815,-0.011220
4.710,0.013484,0.027617,0.029366,0.021950,-0.002215,-0.014571,-0.010750,-0.010289,-0.012852,-0.008988,-0.005786
4.720,0.035614,0.013509,0.022561,0.024643,-0.014350,-0.003257,0.001556,-0.013841,-0.004405,0.002747,0.006452
