log10_x,total,wave_1_gamma_14.1,wave_2_gamma_21.0,wave_3_gamma_25.0,wave_4_gamma_30.4,wave_5_gamma_32.9,wave_6_gamma_37.6,wave_7_gamma_40.9,wave_8_gamma_43.3,wave_9_gamma_48.0,wave_10_gamma_49.8
311.000,-0.071164,-0.011637,-0.015105,-0.004298,-0.008519,-0.015255,-0.015515,-0.005932,0.004298,0.011555,-0.010756
311.010,-0.054655,0.003954,-0.001158,-0.016882,-0.018005,-0.017703,-0.009711,-0.013829,0.012825,0.007154,-0.001300
311.020,-0.014538,0.019129,0.013055,-0.024019,-0.019010,-0.010449,0.002924,-0.010331,0.009612,-0.005133,0.009685
311.030,0.034927,0.032296,0.024269,-0.023408,-0.011061,0.002532,0.013502,0.001679,-0.002401,-0.011762,0.009282
311.040,0.080168,0.042072,0.029906,-0.015246,0.002099,0.014125,0.014583,0.012306,-0.012215,-0.005425,-0.002036
311.050,0.109468,0.047430,0.028672,-0.002165,0.014270,0.017977,0.005406,0.012793,-0.010848,0.006892,-0.010959
311.060,0.112199,0.047809,0.020850,0.011613,0.019719,0.011976,-0.007574,0.002740,0.000450,0.011612,-0.006996
311.070,0.083606,0.043168,0.008238,0.021646,0.015880,-0.000588,-0.015226,-0.009571,0.011336,0.003530,0.005194
311.080,0.032668,0.033994,-0.006268,0.024695,0.004561,-0.012830,-0.012168,-0.013996,0.011844,-0.008443,0.011276
311.090,-0.018188,0.021252,-0.019333,0.019779,-0.008906,-0.018041,-0.000551,-0.006888,0.001510,-0.011109,0.004099
311.100,-0.047024,0.006278,-0.027956,0.008481,-0.018179,-0.013363,0.011454,0.005895,-0.010206,-0.001529,-0.007898
311.110,-0.049543,-0.009355,-0.030156,-0.005552,-0.018888,-0.001362,0.015401,0.013821,-0.012580,0.009736,-0.010608
311.120,-0.041680,-0.024006,-0.025427,-0.017794,-0.010701,0.011386,0.008516,0.010359,-0.003437,0.010268,-0.000844
