# Leray angle variance scan: K = 1 to 200, N_max = adaptive (2K, cap 300)
# Pure lattice geometry — no solver, no dynamics
# Exact integer arithmetic for dot products

# K    K²    shell_pts  n_triads       <sin²α>      Var(cos²α)    Var>0?
  1    1      6          192852           0.67264463   0.0879010313  YES
  2    4      6          185382           0.67809921   0.0871534727  YES
  3    9      30         889320           0.68268075   0.0866953740  YES
  4    16     6          170490           0.68678554   0.0859136970  YES
  5    25     30         815340           0.68969510   0.0856675659  YES
  6    36     30         777870           0.69135394   0.0853538374  YES
  7    49     54         1333776          0.69200847   0.0851430331  YES
  8    64     6          141162           0.69201453   0.0848752194  YES
  9    81     102        2275044          0.68940096   0.0852378050  YES
  10   100    30         633798           0.68567772   0.0854623334  YES
  11   121    78         2193984          0.68558527   0.0854700611  YES
  12   144    30         1096242          0.68555079   0.0854675024  YES
  13   169    78         3627300          0.68558327   0.0854571595  YES
  14   196    54         3142134          0.68560030   0.0854631220  YES
  15   225    150        10734264         0.68564490   0.0854759374  YES
  16   256    6          520530           0.68589293   0.0853130956  YES
  17   289    102        10617324         0.68559494   0.0854738156  YES
  18   324    102        12601758         0.68560111   0.0854738512  YES
  19   361    126        18297024         0.68559419   0.0854640177  YES
  20   400    30         5083074          0.68565616   0.0854750672  YES
  21   441    270        52989252         0.68560332   0.0854697848  YES
  22   484    78         17602158         0.68561132   0.0854727563  YES
  23   529    150        38689080         0.68563157   0.0854614768  YES
  24   576    30         8784162          0.68560765   0.0854676566  YES
  25   625    150        49664556         0.68558016   0.0854820299  YES
  26   676    78         29060334         0.68560537   0.0854692426  YES
  27   729    318        132771888        0.68562757   0.0854676334  YES
  28   784    54         25124466         0.68560610   0.0854706185  YES
  29   841    174        89897220         0.68560187   0.0854701467  YES
  30   900    150        85806030         0.68560824   0.0854720282  YES
  31   961    198        125018568        0.68561837   0.0854682922  YES
  32   1024   6          4168986          0.68566963   0.0854421061  YES
  33   1089   390        297271884        0.68562615   0.0854676022  YES
  34   1156   102        84961782         0.68560189   0.0854726422  YES
  35   1225   270        245403744        0.68560983   0.0854709296  YES
  36   1296   102        100838274        0.68560083   0.0854725028  YES
  37   1369   222        238467636        0.68562338   0.0854693997  YES
  38   1444   126        146599542        0.68561599   0.0854673107  YES
  39   1521   390        490470120        0.68561104   0.0854707534  YES
  40   1600   30         40693146         0.68561972   0.0854683432  YES
  41   1681   246        359353116        0.68561278   0.0854695660  YES
  42   1764   270        424091766        0.68561374   0.0854703870  YES
  43   1849   270        455151120        0.68562286   0.0854669670  YES
  44   1936   78         140868162        0.68561110   0.0854724533  YES
  45   2025   510        985505940        0.68561784   0.0854702125  YES
  46   2116   150        309531534        0.68561745   0.0854683295  YES
  47   2209   294        647148312        0.68561127   0.0854708645  YES
  48   2304   30         70335450         0.68561247   0.0854691947  YES
  49   2401   390        972766188        0.68561116   0.0854717090  YES
  50   2500   150        397497294        0.68561026   0.0854694587  YES
  51   2601   510        1434516624       0.68561697   0.0854695286  YES
  52   2704   78         232523874        0.68561328   0.0854698095  YES
  53   2809   318        1003768020       0.68561621   0.0854701016  YES
  54   2916   318        1061786550       0.68561751   0.0854700121  YES
  55   3025   390        1375803672       0.68561717   0.0854700806  YES
