################################################################
#  WORST-CASE GAMMA SEARCH                                     #
#                                                              #
#  For each N: sample diverse IC classes, measure gamma.       #
#  Report the MAXIMUM gamma found.                             #
#  If max gamma < 2 at all N: subcritical transfer.            #
################################################################

  N     IC_type          alpha  phase   t      gamma    max_eta   E_tot     Omega
  ----  ---------------  -----  -----  ------  -------  --------  --------  --------
  3     spectral_decay   0.0    0.3    0.0000  -999.000    0.0000  1.17e+01  7.12e+01
  3     spectral_decay   0.0    0.3    0.0100   +2.784    3.5988  1.17e+01  7.11e+01
  3     spectral_decay   0.0    0.3    0.0500   +2.844   18.9021  1.17e+01  7.06e+01
  3     spectral_decay   0.0    0.7    0.0000  -999.000    0.0000  1.12e+01  6.90e+01
  3     spectral_decay   0.0    0.7    0.0100   +1.904   11.0674  1.12e+01  6.89e+01
  3     spectral_decay   0.0    0.7    0.0500   +1.889   62.4009  1.11e+01  6.84e+01
  3     spectral_decay   0.0    1.1    0.0000  -999.000    0.0000  1.00e+01  6.47e+01
  3     spectral_decay   0.0    1.1    0.0100   +1.153    7.9970  1.00e+01  6.46e+01
  3     spectral_decay   0.0    1.1    0.0500   +1.138   45.0420  9.95e+00  6.39e+01
  3     spectral_decay   0.0    2.3    0.0000  -999.000    0.0000  1.00e+01  5.87e+01
  3     spectral_decay   0.0    2.3    0.0100   +1.893    4.2890  1.00e+01  5.87e+01
  3     spectral_decay   0.0    2.3    0.0500   +1.960   23.0664  9.96e+00  5.83e+01
  3     spectral_decay   0.0    3.7    0.0000  -999.000    0.0000  9.96e+00  6.57e+01
  3     spectral_decay   0.0    3.7    0.0100   +4.110    0.7252  9.94e+00  6.56e+01
  3     spectral_decay   0.0    3.7    0.0500   +4.710    3.6095  9.88e+00  6.52e+01
  3     spectral_decay   0.5    0.3    0.0000  -999.000    0.0000  5.17e+00  2.83e+01
  3     spectral_decay   0.5    0.3    0.0100   +3.082    0.9196  5.16e+00  2.83e+01
  3     spectral_decay   0.5    0.3    0.0500   +3.019    5.7135  5.13e+00  2.81e+01
  3     spectral_decay   0.5    0.7    0.0000  -999.000    0.0000  4.87e+00  2.72e+01
  3     spectral_decay   0.5    0.7    0.0100   +2.477    2.2733  4.87e+00  2.71e+01
  3     spectral_decay   0.5    0.7    0.0500   +2.474   13.1617  4.84e+00  2.70e+01
  3     spectral_decay   0.5    1.1    0.0000  -999.000    0.0000  4.33e+00  2.49e+01
  3     spectral_decay   0.5    1.1    0.0100   -0.861    0.7523  4.32e+00  2.49e+01
  3     spectral_decay   0.5    1.1    0.0500   -0.391    4.2779  4.30e+00  2.47e+01
  3     spectral_decay   0.5    2.3    0.0000  -999.000    0.0000  4.51e+00  2.37e+01
  3     spectral_decay   0.5    2.3    0.0100   +3.863    0.5394  4.50e+00  2.37e+01
  3     spectral_decay   0.5    2.3    0.0500   +4.051    3.1519  4.48e+00  2.36e+01
  3     spectral_decay   0.5    3.7    0.0000  -999.000    0.0000  4.17e+00  2.51e+01
  3     spectral_decay   0.5    3.7    0.0100   +2.235    1.8170  4.16e+00  2.51e+01
  3     spectral_decay   0.5    3.7    0.0500   +2.224   10.6171  4.14e+00  2.49e+01
  3     spectral_decay   1.0    0.3    0.0000  -999.000    0.0000  2.45e+00  1.17e+01
