############################################################
#  BACKWARD UNIQUENESS: Forward then reverse               #
#                                                          #
#  Run forward T steps, record state.                      #
#  Run backward T steps with -dt.                          #
#  Measure |u_recovered - u_initial| / |u_initial|        #
#                                                          #
#  Small error = reversible (unique solution)              #
#  Large error = irreversible (numerical or physical)      #
############################################################

  Amp    N     Modes   Ω(0)         Ω(T)         Ω(back)      RelError  
  -----  ----  ------  ----------    ----------    ----------    --------- 
  0.05   3     122         0.054091      0.053813      0.054091    7.39e-07
  0.05   4     256         0.054091      0.053821      0.054091    9.14e-07
  0.05   5     514         0.054091      0.053821      0.054091    9.29e-07
  0.05   6     924         0.054091      0.053821      0.054091    9.29e-07

  0.10   3     122         0.216363      0.216829      0.216363    2.93e-06
  0.10   4     256         0.216363      0.216961      0.216363    3.64e-06
  0.10   5     514         0.216363      0.216962      0.216363    3.70e-06
  0.10   6     924         0.216363      0.216962      0.216363    3.70e-06

  0.20   3     122         0.865451      0.886558      0.865453    1.19e-05
  0.20   4     256         0.865451      0.888971      0.865453    1.47e-05
  0.20   5     514         0.865451      0.889039      0.865453    1.50e-05
  0.20   6     924         0.865451      0.889042      0.865453    1.50e-05

  0.30   3     122         1.947264      2.060165      1.947277    2.71e-05
  0.30   4     256         1.947264      2.074911      1.947277    3.35e-05
  0.30   5     514         1.947264      2.075867      1.947277    3.41e-05
  0.30   6     924         1.947264      2.075943      1.947277    3.41e-05

  0.50   3     122         5.409068      6.314464      5.409159    7.72e-05
  0.50   4     256         5.409068      6.503216      5.409158    9.54e-05
  0.50   5     514         5.409068      6.540046      5.409158    9.71e-05
  0.50   6     924         5.409068      6.549057      5.409158    9.72e-05

  0.70   3     122        10.601773     14.371834     10.602121    1.56e-04
  0.70   4     256        10.601773     15.730178     10.602106    1.92e-04
  0.70   5     514        10.601773     16.340932     10.602109    1.96e-04
  0.70   6     924        10.601773     16.710477     10.602109    1.97e-04

  1.00   3     122        21.636271     41.084923     21.637750    3.36e-04
  1.00   4     256        21.636271     58.065959     21.637576    4.23e-04
  1.00   5     514        21.636271     81.215154     21.637620    4.56e-04
  1.00   6     924        21.636271    132.605430     21.637887    1.07e-03

############################################################
#  If RelError grows with A: nonlinearity breaks reversal  #
#  If RelError is small at all A: solution is reversible   #
#  The RATE of error growth with A is diagnostic           #
############################################################
