############################################################
#  LYAPUNOV & ρ(A): Fine-grained critical exponent         #
#                                                          #
#  ρ(A) at 20 amplitude points near the critical region.   #
#  dρ/dA tells us: sharp transition or smooth crossover?   #
#  Lyapunov exponent of Var(t) trajectory.                 #
############################################################

  Amp      ρ_ENERGY    λ_ENERGY    ρ_ENSTROPHY  λ_ENSTROPHY  ρ_SHELL_η  λ_SHELL_η  ρ_ACCUM_R   λ_ACCUM_R   
  -------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  ----------  
  0.2000     0.242268   +38.4344    0.315415   +38.2910    0.431191   -14.4839    0.290023   +22.5834  
  0.2158     0.297640   +38.6603    0.387698   +38.5712    0.461736   -14.3567    0.355164   +22.7655  
  0.2316     0.363830   +38.9042    0.474303   +38.8922    0.487970   -14.2192    0.431631   +22.9628  
  0.2474     0.442638   +39.1694    0.577760   +39.2645    0.509046   -14.0717    0.520165   +23.1784  
  0.2632     0.536030   +39.4604    0.700843   +39.7038    0.523929   -13.9143    0.620670   +23.4159  
  0.2789     0.646144   +39.7839    0.846555   +40.2340    0.532062   -13.7472    0.731300   +23.6800  
  0.2947     0.775310   +40.1500  * 1.018121   +40.8923    0.532814   -13.5794    0.846696   +23.9749  
  0.3105     0.926073   +40.5748  * 1.218980   +41.7353    0.528852   -13.4332    0.954976   +24.3019  
  0.3263   * 1.101216   +41.0850  * 1.452773   +42.8422    0.525359   -13.2925  * 1.034391   +24.6525  
  0.3421   * 1.303761   +41.7262  * 1.723313   +44.2992    0.521934   -13.1460  * 1.054538   +24.9977  
  0.3579   * 1.536949   +42.5733  * 2.034534   +46.1576    0.518480   -12.9909    0.991275   +25.2869  
  0.3737   * 1.804215   +43.7345  * 2.390440   +48.3957    0.516511   -12.8246    0.854880   +25.4726  
  0.3895   * 2.109161   +45.3161  * 2.795081   +50.9323    0.516700   -12.6517    0.770624   +25.5420  
  0.4053   * 2.455586   +47.3492  * 3.252612   +53.6760    0.538223   -12.4718    0.773547   +25.5168  
  0.4211   * 2.847605   +49.7607  * 3.767498   +56.5552    0.588091   -12.2841    0.824372   +25.4283  
  0.4368   * 3.289925   +52.4349  * 4.344954   +59.5229    0.638241   -12.0876  * 1.117341   +25.3030  
  0.4526   * 3.788347   +55.2766  * 4.991703   +62.5514    0.688360   -11.8839  * 1.450730   +25.1594  
  0.4684   * 4.350543   +58.2267  * 5.717141   +65.6258    0.738751   -11.6729  * 1.711933   +25.0096  
  0.4842   * 4.987177   +61.2533  * 6.534985   +68.7398    0.796288   -11.4493  * 1.820749   +24.8611  
  0.5000   * 5.713391   +64.3415  * 7.465440   +71.8934    0.900757   -11.2057  * 1.783549   +24.7184  

############################################################
#  dρ/dA at the critical point tells us the nature of the  #
#  transition. λ < 0 everywhere = globally attracting.     #
############################################################
