############################################################
#  ADAPTIVE N: No fixed truncation boundary                #
#                                                          #
#  N_active grows when cascade approaches the boundary.   #
#  No wall = no reflection = no artefact.                  #
#                                                          #
#  Does N_active stabilise? If yes: cascade absorbed.     #
#  N_start=3, N_ceiling=14, buffer=2, ε=1e-06          #
############################################################

  === ν=0.010, A=0.1 ===

  Step    Time     N     Modes   Energy        Enstrophy     E_top       E_top/E     Action  
  ------  -------  ----  ------  ----------    ----------    --------    --------    --------
  100      0.0100  4     256         0.255214      1.204674    3.96e-02    1.55e-01  EXPAND→4
  300      0.0300  5     514         0.254467      1.202833    5.74e-07    2.26e-06  EXPAND→5
  500      0.0500  6     924         0.253853      1.202039    2.64e-07    1.04e-06  EXPAND→6
  1000     0.1000  6     924         0.252931      1.205361    1.25e-08    4.93e-08  
  1500     0.1500  6     924         0.252877      1.216432    1.22e-07    4.83e-07  
  1600     0.1600  6     924         0.252970      1.219603    1.70e-07    6.72e-07  STABLE(11)
  1700     0.1700  6     924         0.253098      1.223102    2.31e-07    9.12e-07  STABLE(12)
  1800     0.1800  7     1418        0.253261      1.226935    3.07e-07    1.21e-06  EXPAND→7
  2000     0.2000  7     1418        0.253692      1.235631    4.82e-09    1.90e-08  
  2500     0.2500  7     1418        0.255402      1.263787    9.03e-08    3.54e-07  
  2900     0.2900  8     2108        0.257442      1.293594    3.14e-07    1.22e-06  EXPAND→8
  3000     0.3000  8     2108        0.258050      1.302168    1.83e-10    7.08e-10  
  3500     0.3500  8     2108        0.261710      1.352763    1.53e-08    5.85e-08  
  4000     0.4000  8     2108        0.266490      1.418508    1.04e-07    3.89e-07  STABLE(11)
  4100     0.4100  8     2108        0.267592      1.433819    1.40e-07    5.24e-07  STABLE(12)
  4200     0.4200  8     2108        0.268746      1.449941    1.86e-07    6.94e-07  STABLE(13)
  4300     0.4300  8     2108        0.269954      1.466921    2.44e-07    9.04e-07  STABLE(14)
  4400     0.4400  9     3070        0.271218      1.484805    3.16e-07    1.16e-06  EXPAND→9
  4500     0.4500  9     3070        0.272538      1.503664    6.72e-09    2.46e-08  
  5000     0.5000  10    4168        0.280081      1.615240    4.34e-07    1.55e-06  EXPAND→10
  5500     0.5500  10    4168        0.289450      1.765019    1.11e-07    3.85e-07  
  5700     0.5700  11    5574        0.293816      1.839816    3.06e-07    1.04e-06  EXPAND→11
  6000     0.6000  11    5574        0.301165      1.974041    6.66e-08    2.21e-07  
  6300     0.6300  12    7152        0.309661      2.144005    4.69e-07    1.52e-06  EXPAND→12
  6500     0.6500  12    7152        0.315320      2.237079    1.60e-08    5.07e-08  
  6900     0.6900  13    9170        0.329892      2.573303    3.95e-07    1.20e-06  EXPAND→13
  7000     0.7000  13    9170        0.323414      2.396194    9.81e-08    3.03e-07  
  7100     0.7100  14    11512       0.327009      2.495056    4.83e-07    1.48e-06  EXPAND→14
  7300     0.7300  14    11512       0.215564      1.898632    2.26e-07    1.05e-06  AT CEILING
  7400     0.7400  14    11512       0.218522      2.012299    6.34e-07    2.90e-06  AT CEILING
  7500     0.7500  14    11512       0.221717      2.145895    1.40e-06    6.31e-06  AT CEILING
  7600     0.7600  14    11512       0.225184      2.303985    2.70e-06    1.20e-05  AT CEILING
  7700     0.7700  14    11512       0.228970      2.492201    4.77e-06    2.08e-05  AT CEILING
  7800     0.7800  14    11512       0.233128      2.717466    7.94e-06    3.41e-05  AT CEILING
  7900     0.7900  14    11512       0.237723      2.988276    1.26e-05    5.32e-05  AT CEILING
  8000     0.8000  14    11512       0.242833      3.315031    1.94e-05    8.01e-05  AT CEILING
  8100     0.8100  14    11512       0.248551      3.710434    2.91e-05    1.17e-04  AT CEILING
  8200     0.8200  14    11512       0.254989      4.189959    4.25e-05    1.67e-04  AT CEILING
  8300     0.8300  14    11512       0.262280      4.772413    6.10e-05    2.32e-04  AT CEILING
  8400     0.8400  14    11512       0.270586      5.480610    8.60e-05    3.18e-04  AT CEILING
  8500     0.8500  14    11512       0.280096      6.342149    1.20e-04    4.28e-04  AT CEILING
  8600     0.8600  14    11512       0.291041      7.390354    1.65e-04    5.66e-04  AT CEILING
  8700     0.8700  14    11512       0.303692      8.665371    2.24e-04    7.38e-04  AT CEILING
  8800     0.8800  14    11512       0.318372     10.215464    3.02e-04    9.49e-04  AT CEILING
  8900     0.8900  14    11512       0.335469     12.098532    4.04e-04    1.20e-03  AT CEILING
  9000     0.9000  14    11512       0.355439     14.383898    5.36e-04    1.51e-03  AT CEILING
  9100     0.9100  14    11512       0.378826     17.154398    7.07e-04    1.87e-03  AT CEILING
  9200     0.9200  14    11512       0.406271     20.508820    9.25e-04    2.28e-03  AT CEILING
  9300     0.9300  14    11512       0.438536     24.564762    1.21e-03    2.75e-03  AT CEILING
  9400     0.9400  14    11512       0.476518     29.461952    1.56e-03    3.28e-03  AT CEILING
  9500     0.9500  14    11512       0.521274     35.366118    2.01e-03    3.86e-03  AT CEILING
  9600     0.9600  14    11512       0.574053     42.473479    2.59e-03    4.50e-03  AT CEILING
  9700     0.9700  14    11512       0.636320     51.015965    3.31e-03    5.20e-03  AT CEILING
  9800     0.9800  14    11512       0.709796     61.267258    4.21e-03    5.93e-03  AT CEILING
  9900     0.9900  14    11512       0.796502     73.549783    5.34e-03    6.71e-03  AT CEILING
  10000    1.0000  14    11512       0.898801     88.242785    6.75e-03    7.51e-03  AT CEILING
  10100    1.0100  14    11512       1.019461    105.791656    8.51e-03    8.35e-03  AT CEILING
  10200    1.0200  14    11512       1.161714    126.718679    1.07e-02    9.20e-03  AT CEILING
  10300    1.0300  14    11512       1.329331    151.635392    1.34e-02    1.01e-02  AT CEILING
