################################################################
#  δ UNIVERSALITY: Is δ > 0 for ALL α > 0 configs?            #
#  144 configurations. Need δ > 0 in ALL of them.             #
#  Need δ ≥ 0.38 for β_eff > 2 at s=3.5.                    #
################################################################

  A      α     ν       N    t       δ          β_new(3.5)  closes?
  -----  ----  ------  ---  ------  ---------  ----------  -------
  0.10   0.25  0.0100  6    0.0500    -2.3403     -0.7203  no
  0.10   0.25  0.0100  6    0.2000    -0.8432      0.7768  no
  0.10   0.25  0.0100  8    0.0500    +0.1492      1.7692  no
  0.10   0.25  0.0100  8    0.2000    +0.2636      1.8836  no
  0.10   0.25  0.0010  6    0.0500    -2.3402     -0.7202  no
  0.10   0.25  0.0010  6    0.2000    -0.8423      0.7777  no
  0.10   0.25  0.0010  8    0.0500    +0.1449      1.7649  no
  0.10   0.25  0.0010  8    0.2000    +0.2468      1.8668  no
  0.10   0.50  0.0100  6    0.0500    -2.4402     -0.8202  no
  0.10   0.50  0.0100  6    0.2000    -0.8991      0.7209  no
  0.10   0.50  0.0100  8    0.0500    +0.2751      1.8951  no
  0.10   0.50  0.0100  8    0.2000    +0.4449      2.0649  YES
  0.10   0.50  0.0010  6    0.0500    -2.4401     -0.8201  no
  0.10   0.50  0.0010  6    0.2000    -0.8990      0.7210  no
  0.10   0.50  0.0010  8    0.0500    +0.2709      1.8909  no
  0.10   0.50  0.0010  8    0.2000    +0.4268      2.0468  YES
  0.10   0.75  0.0100  6    0.0500    -2.5416     -0.9216  no
  0.10   0.75  0.0100  6    0.2000    -0.9619      0.6581  no
  0.10   0.75  0.0100  8    0.0500    +0.3953      2.0153  YES
  0.10   0.75  0.0100  8    0.2000    +0.6213      2.2413  YES
  0.10   0.75  0.0010  6    0.0500    -2.5413     -0.9213  no
  0.10   0.75  0.0010  6    0.2000    -0.9613      0.6587  no
  0.10   0.75  0.0010  8    0.0500    +0.3913      2.0113  YES
  0.10   0.75  0.0010  8    0.2000    +0.6036      2.2236  YES
  0.10   1.00  0.0100  6    0.0500    -2.6467     -1.0267  no
  0.10   1.00  0.0100  6    0.2000    -1.0359      0.5841  no
  0.10   1.00  0.0100  8    0.0500    +0.5084      2.1284  YES
  0.10   1.00  0.0100  8    0.2000    +0.7873      2.4073  YES
  0.10   1.00  0.0010  6    0.0500    -2.6463     -1.0263  no
  0.10   1.00  0.0010  6    0.2000    -1.0347      0.5853  no
  0.10   1.00  0.0010  8    0.0500    +0.5045      2.1245  YES
  0.10   1.00  0.0010  8    0.2000    +0.7701      2.3901  YES
  0.10   1.50  0.0100  6    0.0500    -2.8741     -1.2541  no
  0.10   1.50  0.0100  6    0.2000    -1.2192      0.4008  no
  0.10   1.50  0.0100  8    0.0500    +0.7166      2.3366  YES
  0.10   1.50  0.0100  8    0.2000    +1.0885      2.7085  YES
  0.10   1.50  0.0010  6    0.0500    -2.8733     -1.2533  no
  0.10   1.50  0.0010  6    0.2000    -1.2164      0.4036  no
  0.10   1.50  0.0010  8    0.0500    +0.7131      2.3331  YES
  0.10   1.50  0.0010  8    0.2000    +1.0725      2.6925  YES
  0.10   2.00  0.0100  6    0.0500    -3.1558     -1.5358  no
  0.10   2.00  0.0100  6    0.2000    -1.4746      0.1454  no
  0.10   2.00  0.0100  8    0.0500    +0.8937      2.5137  YES
  0.10   2.00  0.0100  8    0.2000    +1.3379      2.9579  YES
  0.10   2.00  0.0010  6    0.0500    -3.1544     -1.5344  no
  0.10   2.00  0.0010  6    0.2000    -1.4690      0.1510  no
  0.10   2.00  0.0010  8    0.0500    +0.8906      2.5106  YES
  0.10   2.00  0.0010  8    0.2000    +1.3238      2.9438  YES
