############################################################
#  ENERGY CONSERVATION AUDIT                               #
#                                                          #
#  ν=0: nonlinear term MUST conserve energy exactly.      #
#  Any drift = bug in trilinear coupling.                  #
#                                                          #
#  Also: ν>0 energy should DECREASE (dE/dt = -2νΩ).      #
#  If energy increases at ν>0: nonlinear term adds energy.#
############################################################

  === TEST 1: ν=0, energy conservation ===

  N     dt      Steps       E(0)_manual   E(T)_manual   E(T)_solver   ΔE_manual%  ΔE_solver%
  ----  ------  ----------  ----------    ----------    ----------    ---------   --------- 
  3     0.00010  1000          0.25562797    0.25468807    0.25468807    -0.3677%    -0.3677%
  3     0.00005  2000          0.25562797    0.25468807    0.25468807    -0.3677%    -0.3677%
  3     0.00002  5000          0.25562797    0.25468807    0.25468807    -0.3677%    -0.3677%
  3     0.00001  10000         0.25562797    0.25468807    0.25468807    -0.3677%    -0.3677%
  4     0.00010  1000          0.40761837    0.40743835    0.40743835    -0.0442%    -0.0442%
  4     0.00005  2000          0.40761837    0.40743888    0.40743888    -0.0440%    -0.0440%
  4     0.00002  5000          0.40761837    0.40743920    0.40743920    -0.0440%    -0.0440%
  4     0.00001  10000         0.40761837    0.40743930    0.40743930    -0.0439%    -0.0439%
  5     0.00010  1000          0.62390832    0.63069216    0.63069216    +1.0873%    +1.0873%
  5     0.00005  2000          0.62390832    0.63068866    0.63068866    +1.0868%    +1.0868%
  5     0.00002  5000          0.62390832    0.63068656    0.63068656    +1.0864%    +1.0864%
  5     0.00001  10000         0.62390832    0.63068586    0.63068586    +1.0863%    +1.0863%
  6     0.00010  1000          0.96013552    1.01059528    1.01059528    +5.2555%    +5.2555%
  6     0.00005  2000          0.96013552    1.01060380    1.01060380    +5.2564%    +5.2564%
  6     0.00002  5000          0.96013552    1.01060891    1.01060891    +5.2569%    +5.2569%
  6     0.00001  10000         0.96013552    1.01061062    1.01061062    +5.2571%    +5.2571%
  7     0.00010  1000          1.29015640    1.48193261    1.48193261   +14.8646%   +14.8646%
  7     0.00005  2000          1.29015640    1.48199771    1.48199771   +14.8696%   +14.8696%
  7     0.00002  5000          1.29015640    1.48203680    1.48203680   +14.8726%   +14.8726%
  7     0.00001  10000         1.29015640    1.48204983    1.48204983   +14.8737%   +14.8737%
  8     0.00010  1000          1.70066586    1.90906051    1.90906051   +12.2537%   +12.2537%
  8     0.00005  2000          1.70066586    1.90903890    1.90903890   +12.2524%   +12.2524%
  8     0.00002  5000          1.70066586    1.90902595    1.90902595   +12.2517%   +12.2517%
  8     0.00001  10000         1.70066586    1.90902164    1.90902164   +12.2514%   +12.2514%

  === TEST 2: ν=0.01, energy should DECREASE ===

  N     Steps       E(0)          E(T)          ΔE           -2νΩ·T     Expected_ΔE  Match?    
  ----  ----------  ----------    ----------    ----------    ----------    ----------    --------- 
  3     2000          0.25562797    0.25228583   -0.00334214   -0.00240204   -0.00240204  NO
  4     2000          0.40761837    0.40115544   -0.00646294   -0.00627035   -0.00627035  ~YES
  5     2000          0.62390832    0.61574026   -0.00816806   -0.01473937   -0.01473937  NO
  6     2000          0.96013552    0.97432247   +0.01418695   -0.03437601   -0.03437601  NO
  7     2000          1.29015640    1.40849293   +0.11833653   -0.06327797   -0.06327797  NO
  8     2000          1.70066586    1.78837702   +0.08771116   -0.10644744   -0.10644744  NO

############################################################
#  If ν=0 drift is dt-INDEPENDENT: trilinear form is wrong#
#  If ν=0 drift DECREASES with dt: Euler truncation error #
#  If ν>0 actual ΔE ≠ expected: energy accounting broken  #
############################################################
