################################################################
#  OSCILLATION TRACKING                                        #
#                                                              #
#  Track signed per-shell T_K over time.                       #
#  Does the transfer oscillate? Stay bounded?                  #
#                                                              #
#  N=8, A=0.30, nu=0.0100, steps=5000                            #
################################################################

  step   time     Ω         T_1          T_2          T_3          T_4          T_5          T_6          Σ|T_K|       S=ΣK²T_K
  -----  ------   --------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------
  0      0.0000    11.2824   +0.000e+00   +0.000e+00   +0.000e+00   +0.000e+00   +0.000e+00   +0.000e+00    0.000e+00   +0.000e+00
  50     0.0050    11.2774   -2.320e-02   -1.321e-01   -5.498e-02   +4.557e-05   +1.925e-05   +4.195e-06    2.104e-01   -1.045e+00
  100    0.0100    11.2759   -4.635e-02   -2.637e-01   -1.094e-01   +3.659e-04   +1.541e-04   +3.350e-05    4.200e-01   -2.075e+00
  150    0.0150    11.2781   -6.942e-02   -3.942e-01   -1.629e-01   +1.229e-03   +5.148e-04   +1.116e-04    6.284e-01   -3.075e+00
  200    0.0200    11.2839   -9.239e-02   -5.235e-01   -2.150e-01   +2.886e-03   +1.201e-03   +2.591e-04    8.353e-01   -4.034e+00
  250    0.0250    11.2933   -1.152e-01   -6.512e-01   -2.654e-01   +5.568e-03   +2.296e-03   +4.929e-04    1.040e+00   -4.941e+00
  300    0.0300    11.3062   -1.379e-01   -7.769e-01   -3.137e-01   +9.475e-03   +3.866e-03   +8.253e-04    1.243e+00   -5.785e+00
  350    0.0350    11.3227   -1.605e-01   -9.003e-01   -3.595e-01   +1.478e-02   +5.954e-03   +1.264e-03    1.442e+00   -6.558e+00
  400    0.0400    11.3427   -1.828e-01   -1.021e+00   -4.026e-01   +2.160e-02   +8.582e-03   +1.812e-03    1.639e+00   -7.254e+00
  450    0.0450    11.3662   -2.049e-01   -1.139e+00   -4.427e-01   +3.005e-02   +1.175e-02   +2.469e-03    1.831e+00   -7.866e+00
  500    0.0500    11.3933   -2.268e-01   -1.254e+00   -4.795e-01   +4.016e-02   +1.543e-02   +3.232e-03    2.019e+00   -8.391e+00
  550    0.0550    11.4239   -2.484e-01   -1.365e+00   -5.128e-01   +5.193e-02   +1.958e-02   +4.095e-03    2.203e+00   -8.828e+00
  600    0.0600    11.4580   -2.698e-01   -1.473e+00   -5.424e-01   +6.534e-02   +2.413e-02   +5.053e-03    2.380e+00   -9.175e+00
  650    0.0650    11.4956   -2.909e-01   -1.576e+00   -5.683e-01   +8.030e-02   +2.902e-02   +6.101e-03    2.552e+00   -9.434e+00
  700    0.0700    11.5367   -3.116e-01   -1.676e+00   -5.902e-01   +9.669e-02   +3.416e-02   +7.238e-03    2.717e+00   -9.606e+00
  750    0.0750    11.5812   -3.320e-01   -1.771e+00   -6.083e-01   +1.144e-01   +3.945e-02   +8.462e-03    2.875e+00   -9.696e+00
