############################################################
#  PARALLEL SCAFFOLD: All N levels evolve in LOCKSTEP      #
#                                                          #
#  At each timestep: cycle through all N, step each one,   #
#  read all 4 arrays simultaneously across all N.          #
#                                                          #
#  Cross-scaffold variance is measured AT EACH MOMENT,     #
#  not post-hoc. dVar/dt is the real-time signal.          #
############################################################

  nu=0.0100, dt=0.000100, steps=5000, N_max=7

  ================================================================
  === amp=0.10, 6 parallel scaffolds (N=2..7) ===
  ================================================================

  Step   Time     Var_E        dVar_E/dt    Var_Ω        dVar_Ω/dt    Var_η        dVar_η/dt    Var_H'''     dVar_H'''/dt
  -----  -------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  
  100     0.0100     1.06e-12    +1.06e-10     1.23e-11    +1.23e-09     1.98e-01    +1.98e+01     8.29e-12    +8.29e-10  
  200     0.0200     1.69e-11    +1.58e-09     1.96e-10    +1.84e-08     1.98e-01    -5.42e-02     1.32e-10    +1.24e-08  
  300     0.0300     8.57e-11    +6.88e-09     9.94e-10    +7.98e-08     1.97e-01    -7.62e-02     6.69e-10    +5.36e-08  
  400     0.0400     2.71e-10    +1.86e-08     3.14e-09    +2.15e-07     1.96e-01    -8.05e-02     2.11e-09    +1.44e-07  
  500     0.0500     6.64e-10    +3.93e-08     7.68e-09    +4.54e-07     1.96e-01    -8.28e-02     5.14e-09    +3.03e-07  
  600     0.0600     1.38e-09    +7.18e-08     1.59e-08    +8.26e-07     1.95e-01    -6.77e-02     1.06e-08    +5.50e-07  
  700     0.0700     2.57e-09    +1.19e-07     2.96e-08    +1.36e-06     1.94e-01    -4.89e-02     1.97e-08    +9.03e-07  
  800     0.0800     4.40e-09    +1.83e-07     5.05e-08    +2.09e-06     1.94e-01    -4.63e-02     3.35e-08    +1.38e-06  
  900     0.0900     7.07e-09    +2.67e-07     8.10e-08    +3.05e-06     1.93e-01    -4.89e-02     5.35e-08    +2.01e-06  
  1000    0.1000     1.08e-08    +3.74e-07     1.24e-07    +4.26e-06     1.93e-01    -5.31e-02     8.15e-08    +2.79e-06  
  1100    0.1100     1.59e-08    +5.07e-07     1.81e-07    +5.76e-06     1.92e-01    -5.75e-02     1.19e-07    +3.76e-06  
  1200    0.1200     2.26e-08    +6.69e-07     2.57e-07    +7.57e-06     1.92e-01    -6.17e-02     1.68e-07    +4.92e-06  
  1300    0.1300     3.12e-08    +8.63e-07     3.54e-07    +9.74e-06     1.91e-01    -6.56e-02     2.31e-07    +6.31e-06  
  1400    0.1400     4.21e-08    +1.09e-06     4.77e-07    +1.23e-05     1.90e-01    -6.91e-02     3.11e-07    +7.93e-06  
  1500    0.1500     5.57e-08    +1.36e-06     6.30e-07    +1.53e-05     1.90e-01    -7.21e-02     4.09e-07    +9.80e-06  
  1600    0.1600     7.24e-08    +1.67e-06     8.17e-07    +1.87e-05     1.89e-01    -7.49e-02     5.28e-07    +1.19e-05  
  1700    0.1700     9.26e-08    +2.02e-06     1.04e-06    +2.26e-05     1.88e-01    -7.73e-02     6.72e-07    +1.44e-05  
  1800    0.1800     1.17e-07    +2.43e-06     1.31e-06    +2.70e-05     1.87e-01    -7.94e-02     8.43e-07    +1.71e-05  
  1900    0.1900     1.46e-07    +2.88e-06     1.63e-06    +3.19e-05     1.86e-01    -8.13e-02     1.04e-06    +2.02e-05  
  2000    0.2000     1.80e-07    +3.39e-06     2.01e-06    +3.75e-05     1.86e-01    -8.30e-02     1.28e-06    +2.35e-05  
  2100    0.2100     2.19e-07    +3.96e-06     2.44e-06    +4.37e-05     1.85e-01    -8.45e-02     1.55e-06    +2.73e-05  
  2200    0.2200     2.65e-07    +4.59e-06     2.95e-06    +5.05e-05     1.84e-01    -8.58e-02     1.87e-06    +3.14e-05  
  2300    0.2300     3.18e-07    +5.29e-06     3.53e-06    +5.80e-05     1.83e-01    -8.70e-02     2.23e-06    +3.59e-05  
  2400    0.2400     3.79e-07    +6.06e-06     4.19e-06    +6.63e-05     1.82e-01    -8.80e-02     2.63e-06    +4.08e-05  
  2500    0.2500     4.48e-07    +6.90e-06     4.94e-06    +7.53e-05     1.81e-01    -8.89e-02     3.10e-06    +4.62e-05  
  2600    0.2600     5.26e-07    +7.83e-06     5.79e-06    +8.51e-05     1.80e-01    -8.96e-02     3.62e-06    +5.20e-05  
  2700    0.2700     6.14e-07    +8.83e-06     6.75e-06    +9.58e-05     1.79e-01    -9.03e-02     4.20e-06    +5.82e-05  
  2800    0.2800     7.14e-07    +9.93e-06     7.82e-06    +1.07e-04     1.79e-01    -9.08e-02     4.85e-06    +6.49e-05  
  2900    0.2900     8.25e-07    +1.11e-05     9.02e-06    +1.20e-04     1.78e-01    -9.12e-02     5.57e-06    +7.21e-05  
  3000    0.3000     9.49e-07    +1.24e-05     1.04e-05    +1.33e-04     1.77e-01    -9.16e-02     6.36e-06    +7.98e-05  
