################################################################
#  PER-TRIAD BOUND: |c̄(S,K)| ≤ C · √(E_S · E_K)            #
#                                                              #
#  Test whether C is universal across configurations.         #
################################################################

  === Ratio |c̄(S,K)| / √(E_S·E_K) at A=0.30, ν=0.01, t=0.05 ===

  K\S       S=1        S=2        S=3        S=4        S=5        S=6        S=7        S=8       max_C
  ------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------  ---------
  K=1      1.22e-04   9.81e-05   1.97e-05   1.29e-05   2.37e-07   1.13e-07   8.84e-08   6.25e-08   1.22e-04
  K=2      1.13e-04   7.88e-05   2.44e-05   5.20e-06   2.33e-06   1.11e-08   7.04e-08   5.66e-09   1.13e-04
  K=3      1.01e-04   5.41e-05   3.27e-06   8.59e-06   3.72e-06   1.76e-07   5.42e-09   2.18e-07   1.01e-04
  K=4      1.36e-04   1.45e-04   6.67e-05   1.02e-06   3.57e-06   6.96e-07   5.80e-07   5.18e-08   1.45e-04
  K=5      1.10e-05   3.27e-05   3.74e-05   3.01e-06   2.70e-06   6.42e-07   5.76e-08   1.16e-06   3.74e-05
  K=6      7.14e-06   8.18e-06   1.33e-05   3.22e-06   3.47e-07   1.75e-06   2.24e-07   9.14e-07   1.33e-05
  K=7      1.57e-06   4.07e-06   4.57e-06   3.09e-06   9.54e-07   2.64e-07   2.65e-07   6.76e-07   4.57e-06
  K=8      2.54e-06   2.96e-06   3.94e-06   1.29e-06   8.61e-07   1.37e-06   6.41e-07   1.15e-06   3.94e-06

  === Max C across configurations ===

  A      α     ν        t       max_C
  -----  ----  -------  ------  ---------
  0.10   0.0   0.0100   0.0100   1.29e-04
  0.10   0.0   0.0100   0.0500   1.26e-04
  0.10   0.0   0.0100   0.2000   2.26e-04
  0.10   0.0   0.0010   0.0100   1.29e-04
  0.10   0.0   0.0010   0.0500   1.26e-04
  0.10   0.0   0.0010   0.2000   2.30e-04
  0.10   1.0   0.0100   0.0100   4.99e-05
  0.10   1.0   0.0100   0.0500   4.96e-05
  0.10   1.0   0.0100   0.2000   5.35e-05
  0.10   1.0   0.0010   0.0100   5.00e-05
  0.10   1.0   0.0010   0.0500   4.98e-05
  0.10   1.0   0.0010   0.2000   5.42e-05
  0.10   2.0   0.0100   0.0100   2.42e-05
  0.10   2.0   0.0100   0.0500   2.42e-05
  0.10   2.0   0.0100   0.2000   2.45e-05
  0.10   2.0   0.0010   0.0100   2.43e-05
  0.10   2.0   0.0010   0.0500   2.43e-05
  0.10   2.0   0.0010   0.2000   2.48e-05
  0.20   0.0   0.0100   0.0100   2.57e-04
  0.20   0.0   0.0100   0.0500   2.80e-04
  0.20   0.0   0.0100   0.2000   6.53e-04
  0.20   0.0   0.0010   0.0100   2.57e-04
  0.20   0.0   0.0010   0.0500   2.81e-04
  0.20   0.0   0.0010   0.2000   6.61e-04
  0.20   1.0   0.0100   0.0100   9.98e-05
  0.20   1.0   0.0100   0.0500   9.83e-05
  0.20   1.0   0.0100   0.2000   2.04e-04
  0.20   1.0   0.0010   0.0100   9.99e-05
  0.20   1.0   0.0010   0.0500   9.86e-05
  0.20   1.0   0.0010   0.2000   2.06e-04
  0.20   2.0   0.0100   0.0100   4.85e-05
  0.20   2.0   0.0100   0.0500   4.86e-05
  0.20   2.0   0.0100   0.2000   7.69e-05
  0.20   2.0   0.0010   0.0100   4.85e-05
  0.20   2.0   0.0010   0.0500   4.88e-05
  0.20   2.0   0.0010   0.2000   7.76e-05
  0.30   0.0   0.0100   0.0100   3.84e-04
  0.30   0.0   0.0100   0.0500   5.79e-04
  0.30   0.0   0.0100   0.2000   1.11e-03
  0.30   0.0   0.0010   0.0100   3.84e-04
  0.30   0.0   0.0010   0.0500   5.82e-04
  0.30   0.0   0.0010   0.2000   1.12e-03
  0.30   1.0   0.0100   0.0100   1.50e-04
  0.30   1.0   0.0100   0.0500   1.45e-04
  0.30   1.0   0.0100   0.2000   4.22e-04
  0.30   1.0   0.0010   0.0100   1.50e-04
  0.30   1.0   0.0010   0.0500   1.45e-04
  0.30   1.0   0.0010   0.2000   4.26e-04
  0.30   2.0   0.0100   0.0100   7.28e-05
  0.30   2.0   0.0100   0.0500   7.35e-05
  0.30   2.0   0.0100   0.2000   1.69e-04
  0.30   2.0   0.0010   0.0100   7.28e-05
  0.30   2.0   0.0010   0.0500   7.38e-05
  0.30   2.0   0.0010   0.2000   1.70e-04

  GLOBAL MAX C = 1.123534e-03

  → C < 1: the per-triad bound |c̄| ≤ C·√(E_S·E_K) holds with C < 1.

################################################################
#  If C is bounded across all configs:                         #
#    |T_{S→K}| ≤ n(S,K) · C · √(E_S·E_K)                   #
#    With column sum = 0 (proved) and n(S,K) computable:     #
#    |T_K| is bounded by a COMPUTABLE function of {E_S}.     #
#    This closes step 4 of the analytical bridge.             #
################################################################
