############################################################
#  LEMMA 9.5 VERIFICATION                                  #
#                                                          #
#  Verify: R_K = |T_K| / (E · Ω^{1/2} · K^{γ-1})       #
#  is bounded at all K, all t, all (A, ν).                #
#  γ = 1.5 (from lemma proof)                            #
#                                                          #
#  If max R_K < ∞: Lemma holds with C = max R_K.         #
############################################################

  ν     Amp    Step    Time     Energy      Enstrophy   R_k=1     R_k=2     R_k=3     R_k=4     R_k=5     R_k=6     R_k=7     R_k=8     maxR    BOUNDED?
  0.010  0.1    200      0.0200    1.631251   51.375465     0.0003    0.0011    0.0024    0.0027    0.0038    0.0034    0.0027    0.0000   0.0038  YES
  0.010  0.1    400      0.0400    1.610893   50.657436     0.0008    0.0035    0.0073    0.0080    0.0111    0.0100    0.0080    0.0000   0.0111  YES
  0.010  0.1    600      0.0600    1.590803   50.024105     0.0013    0.0057    0.0118    0.0126    0.0169    0.0148    0.0120    0.0000   0.0169  YES
  0.010  0.1    800      0.0800    1.570951   49.460183     0.0018    0.0076    0.0155    0.0161    0.0206    0.0176    0.0143    0.0001   0.0206  YES
  0.010  0.1    1000     0.1000    1.551311   48.948721     0.0022    0.0092    0.0182    0.0182    0.0222    0.0182    0.0152    0.0001   0.0222  YES
  0.010  0.1    1200     0.1200    1.531867   48.473075     0.0026    0.0104    0.0201    0.0191    0.0220    0.0174    0.0150    0.0001   0.0220  YES
  0.010  0.1    1400     0.1400    1.512607   48.018675     0.0029    0.0113    0.0210    0.0190    0.0206    0.0157    0.0142    0.0001   0.0210  YES
  0.010  0.1    1600     0.1600    1.493526   47.574056     0.0031    0.0118    0.0212    0.0181    0.0186    0.0139    0.0132    0.0001   0.0212  YES
  0.010  0.1    1800     0.1800    1.474620   47.131059     0.0034    0.0121    0.0209    0.0168    0.0166    0.0123    0.0121    0.0002   0.0209  YES
  0.010  0.1    2000     0.2000    1.455890   46.684420     0.0035    0.0121    0.0201    0.0153    0.0148    0.0111    0.0109    0.0002   0.0201  YES
  0.010  0.1    2200     0.2200    1.437340   46.231112     0.0037    0.0119    0.0189    0.0137    0.0134    0.0102    0.0096    0.0001   0.0189  YES
  0.010  0.1    2400     0.2400    1.418971   45.769708     0.0038    0.0116    0.0176    0.0123    0.0123    0.0097    0.0082    0.0001   0.0176  YES
  0.010  0.1    2600     0.2600    1.400787   45.299871     0.0038    0.0111    0.0162    0.0110    0.0115    0.0093    0.0067    0.0001   0.0162  YES
  0.010  0.1    2800     0.2800    1.382793   44.822007     0.0039    0.0107    0.0147    0.0099    0.0109    0.0089    0.0053    0.0001   0.0147  YES
  0.010  0.1    3000     0.3000    1.364989   44.337009     0.0039    0.0102    0.0133    0.0091    0.0104    0.0085    0.0040    0.0001   0.0133  YES
  0.010  0.1    3200     0.3200    1.347381   43.846075     0.0040    0.0098    0.0119    0.0084    0.0098    0.0079    0.0029    0.0001   0.0119  YES
  0.010  0.1    3400     0.3400    1.329969   43.350563     0.0040    0.0093    0.0106    0.0079    0.0091    0.0072    0.0021    0.0001   0.0106  YES
  0.010  0.1    3600     0.3600    1.312755   42.851874     0.0040    0.0089    0.0093    0.0075    0.0084    0.0065    0.0016    0.0001   0.0093  YES
  0.010  0.1    3800     0.3800    1.295741   42.351359     0.0041    0.0086    0.0082    0.0073    0.0075    0.0057    0.0014    0.0001   0.0086  YES
  0.010  0.1    4000     0.4000    1.278926   41.850265     0.0041    0.0083    0.0071    0.0071    0.0065    0.0048    0.0014    0.0001   0.0083  YES
  0.010  0.1    4200     0.4200    1.262311   41.349695     0.0042    0.0080    0.0062    0.0070    0.0055    0.0040    0.0015    0.0002   0.0080  YES
  0.010  0.1    4400     0.4400    1.245896   40.850601     0.0042    0.0078    0.0054    0.0069    0.0045    0.0032    0.0016    0.0002   0.0078  YES
  0.010  0.1    4600     0.4600    1.229679   40.353786     0.0042    0.0076    0.0047    0.0069    0.0036    0.0024    0.0016    0.0002   0.0076  YES
  0.010  0.1    4800     0.4800    1.213660   39.859905     0.0043    0.0074    0.0041    0.0069    0.0026    0.0017    0.0014    0.0002   0.0074  YES
  0.010  0.1    5000     0.5000    1.197838   39.369468     0.0044    0.0073    0.0035    0.0070    0.0017    0.0011    0.0011    0.0002   0.0073  YES
  → Case max R = 0.022157

  0.010  0.2    200      0.0200    6.525487  206.029463     0.0005    0.0023    0.0049    0.0054    0.0075    0.0068    0.0055    0.0000   0.0075  YES
  0.010  0.2    400      0.0400    6.444122  204.522755     0.0015    0.0066    0.0135    0.0143    0.0187    0.0163    0.0134    0.0000   0.0187  YES
  0.010  0.2    600      0.0600    6.363155  203.779418     0.0023    0.0096    0.0187    0.0184    0.0219    0.0179    0.0153    0.0001   0.0219  YES
  0.010  0.2    800      0.0800    6.282380  203.310759     0.0029    0.0112    0.0204    0.0181    0.0193    0.0149    0.0141    0.0001   0.0204  YES
  0.010  0.2    1000     0.1000    6.201764  202.782712     0.0033    0.0115    0.0194    0.0155    0.0154    0.0118    0.0120    0.0002   0.0194  YES
  0.010  0.2    1200     0.1200    6.121371  202.038217     0.0035    0.0110    0.0170    0.0123    0.0125    0.0101    0.0094    0.0001   0.0170  YES
  0.010  0.2    1400     0.1400    6.041305  201.033206     0.0036    0.0100    0.0140    0.0097    0.0108    0.0092    0.0066    0.0001   0.0140  YES
  0.010  0.2    1600     0.1600    5.961674  199.782807     0.0036    0.0090    0.0111    0.0080    0.0096    0.0083    0.0042    0.0001   0.0111  YES
  0.010  0.2    1800     0.1800    5.882571  198.330257     0.0036    0.0081    0.0085    0.0069    0.0081    0.0068    0.0029    0.0001   0.0085  YES
  0.010  0.2    2000     0.2000    5.804071  196.725617     0.0036    0.0074    0.0063    0.0063    0.0062    0.0051    0.0027    0.0001   0.0074  YES
  0.010  0.2    2200     0.2200    5.726227  195.011918     0.0036    0.0068    0.0045    0.0060    0.0041    0.0034    0.0028    0.0002   0.0068  YES
  0.010  0.2    2400     0.2400    5.649077  193.219893     0.0036    0.0064    0.0033    0.0060    0.0021    0.0019    0.0027    0.0002   0.0064  YES
  0.010  0.2    2600     0.2600    5.572647  191.367632     0.0036    0.0060    0.0024    0.0061    0.0003    0.0007    0.0020    0.0001   0.0061  YES
