################################################################
#  VORTICITY ALIGNMENT DIAGNOSTIC (Constantin-Fefferman)        #
#                                                              #
#  Measures vorticity direction coherence over time.            #
#  If |∇ξ| stays bounded, BKM integral converges → regularity. #
#                                                              #
#  N=8, A=0.30, nu=0.0100, dt=0.000100, steps=5000                   #
################################################################

  step   time      E          Ω          max|ω_k|   Σ|ω_k|     ⟨cos²φ⟩    max|Δξ|/|Δk|   BKM_int
  -----  ------    --------   --------   --------   --------   --------   -------------   -------
  0      0.0000     2.39614    11.2824     0.9823      48.46    0.33600        2.000000    0.4846
  100    0.0100     2.39391    11.2759     0.9808      48.62    0.33601        2.000000    0.9707
  200    0.0200     2.39168    11.2838     0.9778      49.14    0.33604        2.000000    1.4621
  300    0.0300     2.38944    11.3059     0.9735      50.01    0.33609        2.000000    1.9623
  400    0.0400     2.38719    11.3422     0.9679      51.20    0.33617        2.000000    2.4743
  500    0.0500     2.38494    11.3926     0.9610      52.68    0.33626        2.000000    3.0011
  600    0.0600     2.38268    11.4570     0.9529      54.40    0.33638        1.999999    3.5451
  700    0.0700     2.38040    11.5353     0.9436      56.35    0.33653        1.999998    4.1087
  800    0.0800     2.37810    11.6274     0.9332      58.50    0.33671        1.999997    4.6937
  900    0.0900     2.37579    11.7334     0.9218      60.82    0.33692        1.999995    5.3019
  1000   0.1000     2.37345    11.8530     0.9094      63.28    0.33716        1.999993    5.9346
  1100   0.1100     2.37109    11.9862     0.8961      65.87    0.33743        1.999990    6.5933
  1200   0.1200     2.36870    12.1329     0.8821      68.54    0.33444        1.999985    7.2787
  1300   0.1300     2.36628    12.2929     0.8674      71.27    0.33550        1.999980    7.9914
  1400   0.1400     2.36382    12.4661     0.8520      74.03    0.33827        1.999974    8.7316
  1500   0.1500     2.36133    12.6521     0.8361      76.82    0.33942        1.999966    9.4998
  1600   0.1600     2.35881    12.8507     0.8198      79.65    0.34321        1.999956   10.2963
  1700   0.1700     2.35624    13.0616     0.8031      82.51    0.34416        1.999945   11.1214
  1800   0.1800     2.35362    13.2844     0.7861      85.41    0.34628        1.999931   11.9755
  1900   0.1900     2.35096    13.5187     0.7689      88.37    0.34687        1.999916   12.8591
  2000   0.2000     2.34826    13.7639     0.7515      91.35    0.34489        1.999898   13.7727
  2100   0.2100     2.34550    14.0195     0.7340      94.40    0.34181        1.999877   14.7166
  2200   0.2200     2.34269    14.2850     0.7166      97.48    0.34333        1.999853   15.6914
  2300   0.2300     2.33983    14.5597     0.6991     100.57    0.34109        1.999826   16.6971
  2400   0.2400     2.33691    14.8429     0.6818     103.63    0.34082        1.999795   17.7334
  2500   0.2500     2.33394    15.1339     0.6645     106.61    0.34005        1.999977   18.7995
  2600   0.2600     2.33091    15.4321     0.6475     109.54    0.34189        1.999970   19.8949
  2700   0.2700     2.32781    15.7366     0.6306     112.47    0.34329        1.999926   21.0196
  2800   0.2800     2.32466    16.0467     0.6141     115.37    0.34474        1.999981   22.1734
  2900   0.2900     2.32144    16.3617     0.5978     118.30    0.34595        1.999999   23.3563
  3000   0.3000     2.31816    16.6808     0.5818     121.30    0.34481        1.999998   24.5693
  3100   0.3100     2.31481    17.0033     0.5661     124.34    0.34515        1.999997   25.8127
  3200   0.3200     2.31140    17.3285     0.5587     127.35    0.34392        1.999999   27.0862
  3300   0.3300     2.30793    17.6557     0.5512     130.28    0.34366        1.999994   28.3890
  3400   0.3400     2.30439    17.9843     0.5433     133.14    0.34311        1.999995   29.7204
  3500   0.3500     2.30078    18.3138     0.5458     135.86    0.34278        1.999981   31.0790
  3600   0.3600     2.29711    18.6435     0.5521     138.49    0.34256        1.999968   32.4640
  3700   0.3700     2.29337    18.9729     0.5580     141.09    0.34203        1.999996   33.8749
  3800   0.3800     2.28956    19.3017     0.5636     143.68    0.34205        1.999940   35.3117
  3900   0.3900     2.28569    19.6293     0.5689     146.27    0.34098        1.999889   36.7744
  4000   0.4000     2.28176    19.9554     0.5738     148.94    0.34015        1.999772   38.2638
  4100   0.4100     2.27776    20.2795     0.5784     151.65    0.33897        1.999703   39.7803
  4200   0.4200     2.27369    20.6013     0.5826     154.41    0.33835        1.999998   41.3244
  4300   0.4300     2.26957    20.9203     0.5864     157.14    0.33831        1.999836   42.8958
  4400   0.4400     2.26537    21.2363     0.5899     159.82    0.33775        1.999884   44.4940
  4500   0.4500     2.26112    21.5489     0.5931     162.41    0.33687        1.999275   46.1182
  4600   0.4600     2.25680    21.8577     0.5959     164.93    0.33655        1.999961   47.7675
  4700   0.4700     2.25242    22.1625     0.5983     167.35    0.33620        1.999577   49.4410
  4800   0.4800     2.24798    22.4630     0.6004     169.71    0.33591        1.999411   51.1381
  4900   0.4900     2.24348    22.7590     0.6021     172.01    0.33613        1.999682   52.8581
  5000   0.5000     2.23892    23.0504     0.6035     174.23    0.33574        1.999946   54.6005

################################################################
#  INTERPRETATION:                                             #
#                                                              #
#  ⟨cos²φ⟩ → 1:                                               #
#    Vorticity directions aligning → Constantin-Fefferman      #
#    kernel D → 0 → stretching suppressed → regularity.       #
#                                                              #
#  max|Δξ|/|Δk| bounded:                                       #
#    ξ is Lipschitz → |∇ξ| bounded → BKM closes.              #
#                                                              #
#  BKM integral growing sub-linearly:                          #
#    ∫||ω||_{L^∞} dt stays finite → no blow-up possible.       #
#                                                              #
#  This diagnostic measures the GEOMETRIC condition for        #
#  regularity (Constantin-Fefferman 1993) directly, bypassing  #
#  the H^s bootstrap entirely.                                 #
################################################################
